region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
br1,americas,BR1_3259297477,Arm3efsByZH-cqWq46STTPFc_uPT_aj823Nyl0F6cNOI2-lwfIdriyX0px9Axa7QNZ_a0ZyavmDwrA,Sion,4,2,22,11231,18911,22,1
br1,americas,BR1_3259297477,ptjPRhc1uaXrHe3Rp-qeH4d73b9SL-GU4hHSA7OWYw3gHNJ_wGd2ENqIhYz1ewVCNtoxMovqhDRokw,Olaf,11,10,9,13234,30482,24,1
br1,americas,BR1_3259297477,Z8Cpyd6F-aXhW98bYDcOBXXa_Gyvb9YZTZB7Do154CQSB7EXcvXbGUCZy-1ezBkhHnmpA1YLebZZbw,Ryze,19,4,17,15477,45610,35,1
br1,americas,BR1_3259297477,A1T_5jX2TPzWFGhh3dvtFPd5ncovKXpoG33Lg7KJskaJsbEkKkZtCwCRxn90KgsgnxkIqp55i1QccA,Jhin,15,3,19,16386,48640,17,1
br1,americas,BR1_3259297477,xnVP1P2NSMl_qto6na4sXzPNDGusWFK2KN5dJ8zmfWQNv4azd8RszCMZWrIp4D_HKgaS0j2nOLvzeg,Camille,4,6,21,9614,20360,100,1
br1,americas,BR1_3259297477,FbnRdkArwCmsAmW_NqCivYXCoxlbMUjorUZ1l06Vx3Pfd0QMyYKBxRwotukQywks1jDdHzd1u74MzQ,Yone,4,10,6,10955,30466,32,0
br1,americas,BR1_3259297477,Nw2TPmGELDoICQMTndsOswAY0bJumlXxl08AuzMEJi-0CRPXffvUYZJE6sDX9deLb2QQf_YUNG_gCQ,Maokai,4,8,7,11577,32428,37,0
br1,americas,BR1_3259297477,CZDlEf3j4e8UlbQgJXFYn3_-TUPNVvlQFH-ekwMk2Zpo_2KY7BO4e9zpxow_OLhP1bweokfdngmRcg,Aurora,5,11,4,11062,31626,29,0
br1,americas,BR1_3259297477,zVa6KQxtSIcqD4zlHZYCYWj5QxggBNv60HqXjgcdd6Z6aWNP6L3QqH8kSMTuo6S98b03YLC1JazXDg,Ezreal,8,8,6,14021,31676,21,0
br1,americas,BR1_3259297477,4PeOU5LtQxi0trEZhPUwTzf2siuKK7v59WqTEbycJTHquJkSueKuXNtnTuByNNT-69lsDVbuuxxWNA,Pantheon,4,17,6,9281,20583,100,0
br1,americas,BR1_3259131307,UnB0N6LjEUm41kcnTVUuxQ0AQ2wWX-WxeN46QjBWuOrzkcHHMVA3TDXK4n1fa4qZC8ciS4VhhJpLnA,Singed,7,6,15,18716,37683,31,0
br1,americas,BR1_3259131307,AHNQmonZJyLTFS4azI0ZUt2qH6kG2k2S4VVMCPaApK9Oq1M5q6WQKxKOf_10S9yawlw0DdUXkSoxVg,Karthus,13,10,14,19659,75445,35,0
br1,americas,BR1_3259131307,My9G6GtnK_otqGWcE1H47MlsPQcbsQulOfhXmjhnu8T_m9CkQolU2CQs6iHQ_THWA5Jvqw36ckaj9Q,Yasuo,6,11,8,16198,28711,19,0
br1,americas,BR1_3259131307,hXbgZYXYq-0llVE5rUcKgwzTj6FqNtJ_HCvWnqlfJmqdtaLx033GS18n5NZgLiIudEzjwjYnoWxqfw,Kaisa,9,9,9,20332,37187,42,0
br1,americas,BR1_3259131307,ebW_JPCFPJxTeF4mxG3unoKE9IXdqL0NWvh6wgBsI5Sj64bM1bZNZYWRpWkCMp2xqOvg5CFKX7xj-A,Nautilus,0,11,22,10120,13768,99,0
br1,americas,BR1_3259131307,3eO_478GLv5F3bbEDDTEYeaoFJhq5tt-NVZToIWc1G6iaQjPN5qyPJHMRjkYkjWD4gXeU1z3xvNGiA,Irelia,7,13,11,14537,23233,46,1
br1,americas,BR1_3259131307,Nw2TPmGELDoICQMTndsOswAY0bJumlXxl08AuzMEJi-0CRPXffvUYZJE6sDX9deLb2QQf_YUNG_gCQ,Sylas,17,6,24,21228,49435,44,1
br1,americas,BR1_3259131307,2nhQLMRGlOmlQavK7J2bEHAoVZsjQwpUo0gPirQj92WPJ5iHphvU9u5LjI4GjzyunlSOwJeeY9DMSA,Aatrox,6,5,21,18342,36807,31,1
br1,americas,BR1_3259131307,Qk03ZfYQ-72DNVuzia3y_urQONS92owOQHKsAoA0VEeSG5l3b7ZZffS5ToIPBgZOthk07vXgViclPA,Sivir,9,5,25,22867,44696,32,1
br1,americas,BR1_3259131307,bHEykocB2tNTwku8F_qTShLM7mJUvGdA0A4Qe2LGzaW4FdjRJ1z1O-TZh5h9V6kFUkm_pygBWHqoEw,Senna,8,6,34,15760,32287,119,1
br1,americas,BR1_3258860084,f-GhXTv1Nt11SZfxGkGMuJM_4ufP5PHrJKzZyIyTK6okD-Cgee-orMY9B6S6YojClTqIJ25aI-1u8Q,Vladimir,2,3,3,11850,19892,20,0
br1,americas,BR1_3258860084,B2r_rUG8zLexUBPhMcy2H-2jkKb8eI-YEeM0yC5IBxhkfjU7p8MNb-XZPQWIOtDoDMsu0i-2pl8N3A,Shaco,5,8,3,12574,12608,17,0
br1,americas,BR1_3258860084,ViFOJpcSMV6IqPZjLQBHtiizg1uoeKirHqgDQUyaaS4KwgHaphmD9kcvZVGmJABbJRWJOS5pEE2ygQ,Annie,4,6,2,10084,16297,21,0
br1,americas,BR1_3258860084,Y8Gn0Uy0MzBCmQaUKDHF1Z7siEbJv8JaTKmuvGRS2ZHxPOITnLbHRUg-Ebq3Eh9LeuN17Y-LJHCPNg,Yunara,13,10,5,14461,32656,24,0
br1,americas,BR1_3258860084,OYIepwUKoISieWxYw9gLdP9qpMHV0qGpvEznAgFQEz4APr6mMWNFmsbtpOowZd4dVG9l4yowjea6DA,Nautilus,1,8,13,7981,7873,67,0
br1,americas,BR1_3258860084,t1vX1kJpSMVtd3oaUHH05lSWHp44w9GpqpDiCbuxEKd80Zca0DOPYFi8UPDcvqYFqiLv9oXJydDmkA,Galio,3,4,15,11717,17461,23,1
br1,americas,BR1_3258860084,M-fQnvUFMc_O0pZTGDPVtkre1nMK-3IbBPHU39ptrFbLtleBCREB_9ybCThUMTda3tdhx3-V2_8R2w,Ambessa,11,4,13,15139,31792,21,1
br1,americas,BR1_3258860084,OjIxLeRKow2h4WeZGhnHSi7mEVzOxH9Au6Bdjg5nCEcf-g1ZQPMsptJqheQpMYco2JZ0QAsGSXS7Ew,Hwei,15,1,12,16744,38357,19,1
br1,americas,BR1_3258860084,sv3VuohKPQmhvZdEs_yIw5Ua-LDqbeeIDYRKvOie-gZmSxQOdo0ZhRlaNyJWq8kokGzn6R3QcuBZ6A,Jhin,3,8,11,14211,17169,14,1
