region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
la1,americas,LA1_1731261826,KCGhtOvK5AzZEA-BCtS4zRvavH_cqzwRLd7kIZk_1gejogHtwPYspG8C-SunSmchp5zmItCpSUmilQ,Gwen,2,4,1,9772,17865,25,0
la1,americas,LA1_1731261826,CoOo0Ouwu0vnqJ22pXTR3UGH9KRXyudO77cMBiUYMMEECd6lwaOsLkhNQiyqodZfOad9ucdQEDaZuw,Zed,9,5,0,14571,31973,25,0
la1,americas,LA1_1731261826,XaVwt1AP0klJO_7h5_H3azkqzS70NlbNiPf6x5HK53zBzgheM7sMh9frWE9L5sD_pl4MO4TJVzjNKg,Irelia,6,8,2,12966,23104,16,0
la1,americas,LA1_1731261826,OfQJqvAMi6VBM1pTZ3QpzRCK-GaIxPhGmy7uvc4m7IJVgWui4MOqCJ4uScQxzzb_4o6_KBQABgwYYw,Ashe,0,10,4,8918,7034,21,0
la1,americas,LA1_1731261826,grktjD8lRxxK70LMcgmRXi1jmnE5XmB-LW8FY4I4cGsquI8vdQwkb3NZN1akkx-n6Dsu_C_YJ1789g,Seraphine,0,5,10,7584,8323,88,0
la1,americas,LA1_1731261826,OzkCiSZtHXuN_Yu_ZY4nDEdXHF1SqSEquMkOAzX_-CE2doGgIs52jtEBTtN9yN4p0hcd0hhjoOR-3w,Ornn,2,1,11,9425,12299,29,1
la1,americas,LA1_1731261826,cKRqXC45ZWknW6NkRqeVPNr5r2qnLk5zNiNbm57cWibsaBJ3EeLycUxwrPupc1z_7YPdVMpmXJKQ-g,XinZhao,6,3,11,13198,15974,30,1
la1,americas,LA1_1731261826,ZTEmqwNQwhV8VjRoR_PA4FjgbY4xOAI6PoCaiEHh3Hb96GgZyNOheCMQT7P_DgMeoez3DhmLDIE4qA,Katarina,14,8,4,14219,33377,20,1
la1,americas,LA1_1731261826,JACZc4kBz2fjbIEmhAjWZm7HJ2bokDpamQbCJu2RfVA10xRYUHPi22k-RFi5V1AtDvyKyp01uh-2hA,Caitlyn,8,2,8,15368,24715,22,1
la1,americas,LA1_1731261826,cHSRrtLzOLBcRvWnYj3pbI445ICEdUW_O_cs3FnkQAtENXIvGBkvst-jvJ7WmQnrggVRAPS79MScnw,Thresh,2,3,23,10398,11421,90,1
la1,americas,LA1_1731251636,0j6ianIh3_nAmOUia6keXuei3O7UOb9J5S9o26C7F6WihCBZjmvfNi7-msx9iIEvRf5ZQRayduNR6Q,Kayle,5,10,14,11732,18263,27,1
la1,americas,LA1_1731251636,CoOo0Ouwu0vnqJ22pXTR3UGH9KRXyudO77cMBiUYMMEECd6lwaOsLkhNQiyqodZfOad9ucdQEDaZuw,Kayn,13,7,14,16949,40038,50,1
la1,americas,LA1_1731251636,5yg4vUJayelysbzFz4vziMrT5nAxrZb0Z4N9nysIZ38olpEua0fOp0Cj_JfK8uvq91OpCO0YPVtAmQ,Smolder,16,8,8,18569,39478,21,1
la1,americas,LA1_1731251636,Lc-CUgH7Ij8b03kDhzxF-Uf9tph8qDPkPcW3r9y_5-PrMEvbL9G-J2T2H71sI5oW9Sjfvpxi4OcRBg,Vladimir,2,8,9,11062,15678,27,1
la1,americas,LA1_1731251636,cQXziJbxFS1vGDA6V-15iFQv6yyHOAUDr6v118htE3rssccLIj0qvmAApyqCLWdL7YgyVgKJbG57xQ,Seraphine,4,3,18,10584,13994,103,1
la1,americas,LA1_1731251636,OHvWQKAP-SQUi2EEYj9U_ePPS9u1_yq8V78OcULHDYj0oWlD5DaLbsxlfc21kKXDHECFqrNoOOlOTw,Jayce,13,10,8,15840,37536,23,0
la1,americas,LA1_1731251636,hg7Ilppb3S_Y8B4vHmnaKCOAdquT4RSsDnIY5Dah6AxLwtqyRm45aHr3hD5r-czCfk_8Ys2CR0HHEg,Qiyana,6,11,11,13292,29035,38,0
la1,americas,LA1_1731251636,n_-4gGV04uLB1eHvBlklRePLjYTHBVbME-dEl3mJIBZUiXYrMBbpj0LarekndVHa9MwZoZI75b09dA,Malzahar,5,7,6,11696,29374,26,0
la1,americas,LA1_1731251636,3FJfjU2iL8qKKg1vvbYEAtaydnN__lvsnshzfd4GzoNQV_D6hLS6z9n3FFrudH4iz-TlXrrHt4eYSg,Kaisa,11,4,7,14703,29638,20,0
la1,americas,LA1_1731251636,dOZM9xLLf9kFVqaig8wg1KnfJnpOBtb5gy59B1FcXG3hLLIeam0_AVEi_F-esGrtD4ypEVAEGZmFhQ,Sejuani,1,8,13,8805,11368,94,0
la1,americas,LA1_1731185490,9_3KK8bQJtpAtmHhlj2YLkwiaFpN1WItcrrcZ1-ghMsis-hhN89MPz57Jp_gHpBLWLIjiAdx8nDGsw,Renekton,2,2,1,8128,8173,12,0
la1,americas,LA1_1731185490,DywYU6CuC33gaxrhR8bqDXbnA-D4yZySf8s4vzFf74ucPHFUz4r_LSy4jnsSKFksHOQVL8l2-TAEfA,Kindred,3,4,1,7577,8666,13,0
la1,americas,LA1_1731185490,_8Oh_3bJ9Gd5AqVBBBiRAClvCJVR0V7oqVC61J-pAtJ3MiN0zmYzoMPVZIr5a8E863NCqKW5EyIAUg,Yone,0,3,3,7901,13285,9,0
la1,americas,LA1_1731185490,WlOsb83qfyA0va4RZW-Y_QjBpuHwnV_x1hyNi1uaxDPMfiE07c8DD6edc608yeLs93wcbhLTGTxfWA,Senna,0,8,0,7162,8050,8,0
la1,americas,LA1_1731185490,oPZJEviq2D3O1lWLdzneFsvMTo9z0N5ZuAzb3vdKTXQH2FTypem0C6-gio0qaJYME8sNJWxdnJSpoQ,Thresh,0,5,2,5201,3662,42,0
la1,americas,LA1_1731185490,57pxhlGM77c8_8lhJqfBsEHlary-Oe7CX4GInFq1UxOw3kU3qEvDO4ZIPbT4MSjh44BLXFbK_iJHrg,Urgot,5,2,0,9373,16685,20,1
la1,americas,LA1_1731185490,dFedGtEIssJn4rOtClxK9RZlMpLmjWz28MZgBzbBeQdmJlPBvABiFIn6wVzy3PskUZ2L7f0HxleVcQ,Talon,6,2,1,11011,15869,25,1
la1,americas,LA1_1731185490,_-_ttW6ppK9otQhNRefY9tupouDG0ZGpKVx-s-I0lA_nk5BSdiMorB2J3-cUCaUZayyPiziclzE1JA,Veigar,2,1,1,9551,14201,18,1
la1,americas,LA1_1731185490,2Vo6Mo3-qVJ-QuenGulRjTxzvnBOZRjabg4MwEHrUrb7MemwNUqq7MG7lvrNpxF97tiP1X_p7aFR6Q,Jhin,7,0,5,12179,11578,17,1
la1,americas,LA1_1731185490,4QtsgVNNW8okOT3fsdyp5Q3gOSCf-bKi4ng0beR5xq_-2OdeqOdDSEUqcbzdmE6xX1U468VXvXJRmQ,Karma,2,0,8,7645,11834,62,1
la1,americas,LA1_1731186057,1GU7ndPV_nuTajkjSF00ZQBNTP9ywuNPCsHOkjs4wC1TXmugoLc3O1bfNO2vHmkCpEaGksmh66erQA,Jax,5,0,3,10955,13213,25,1
la1,americas,LA1_1731186057,H-gU3HDjYPirT22mxWGIFdYlsUxyUtvEork9SalTE8f4jBoA4EKxl3gn6DBModTfA5noKLJB_gNC_w,Ekko,6,2,4,11311,9515,23,1
la1,americas,LA1_1731186057,_-_ttW6ppK9otQhNRefY9tupouDG0ZGpKVx-s-I0lA_nk5BSdiMorB2J3-cUCaUZayyPiziclzE1JA,Veigar,11,1,1,12781,19695,15,1
la1,americas,LA1_1731186057,j9P_fDgGOR2o74JqL6BhXwaOHQICyprWL4t_k59KSKSFSGYB2GsvAHXLTZ4KP4cBmwLwo0PSpmIhJw,Sivir,3,1,11,10970,15960,24,1
la1,americas,LA1_1731186057,nSQ_lo06qudZn1_72ExA7T_ZuszgylEgVNd8rMIdSGJtwKyyd4p7ztuCjUFFY3EUsYvAH3tHBlSgwg,Karma,0,1,16,6690,3577,58,1
la1,americas,LA1_1731186057,dFedGtEIssJn4rOtClxK9RZlMpLmjWz28MZgBzbBeQdmJlPBvABiFIn6wVzy3PskUZ2L7f0HxleVcQ,Garen,1,7,2,6194,4229,29,0
la1,americas,LA1_1731186057,KEz_rB5Y3Zzd0bQFw9-x70HsvxDsxMTDqzzASxTHU5KhDToAzGbhTh8nVyjJ1_YHO_SefdiZhGtAQA,JarvanIV,1,6,2,6682,4625,19,0
la1,americas,LA1_1731186057,ciVlTJnTFJyl8yswMr8mfiOvap3xtTDNIVapai_TOOd7K9jRiRSbMC57SglWOs6v46UJs6NTXDkAVA,Lissandra,2,7,2,7161,10791,17,0
