region,routing_region,puuid
la1,americas,KCGhtOvK5AzZEA-BCtS4zRvavH_cqzwRLd7kIZk_1gejogHtwPYspG8C-SunSmchp5zmItCpSUmilQ
la1,americas,CoOo0Ouwu0vnqJ22pXTR3UGH9KRXyudO77cMBiUYMMEECd6lwaOsLkhNQiyqodZfOad9ucdQEDaZuw
la1,americas,XaVwt1AP0klJO_7h5_H3azkqzS70NlbNiPf6x5HK53zBzgheM7sMh9frWE9L5sD_pl4MO4TJVzjNKg
la1,americas,OfQJqvAMi6VBM1pTZ3QpzRCK-GaIxPhGmy7uvc4m7IJVgWui4MOqCJ4uScQxzzb_4o6_KBQABgwYYw
la1,americas,grktjD8lRxxK70LMcgmRXi1jmnE5XmB-LW8FY4I4cGsquI8vdQwkb3NZN1akkx-n6Dsu_C_YJ1789g
la1,americas,OzkCiSZtHXuN_Yu_ZY4nDEdXHF1SqSEquMkOAzX_-CE2doGgIs52jtEBTtN9yN4p0hcd0hhjoOR-3w
la1,americas,cKRqXC45ZWknW6NkRqeVPNr5r2qnLk5zNiNbm57cWibsaBJ3EeLycUxwrPupc1z_7YPdVMpmXJKQ-g
la1,americas,ZTEmqwNQwhV8VjRoR_PA4FjgbY4xOAI6PoCaiEHh3Hb96GgZyNOheCMQT7P_DgMeoez3DhmLDIE4qA
la1,americas,JACZc4kBz2fjbIEmhAjWZm7HJ2bokDpamQbCJu2RfVA10xRYUHPi22k-RFi5V1AtDvyKyp01uh-2hA
la1,americas,cHSRrtLzOLBcRvWnYj3pbI445ICEdUW_O_cs3FnkQAtENXIvGBkvst-jvJ7WmQnrggVRAPS79MScnw
la1,americas,0j6ianIh3_nAmOUia6keXuei3O7UOb9J5S9o26C7F6WihCBZjmvfNi7-msx9iIEvRf5ZQRayduNR6Q
la1,americas,5yg4vUJayelysbzFz4vziMrT5nAxrZb0Z4N9nysIZ38olpEua0fOp0Cj_JfK8uvq91OpCO0YPVtAmQ
la1,americas,Lc-CUgH7Ij8b03kDhzxF-Uf9tph8qDPkPcW3r9y_5-PrMEvbL9G-J2T2H71sI5oW9Sjfvpxi4OcRBg
la1,americas,cQXziJbxFS1vGDA6V-15iFQv6yyHOAUDr6v118htE3rssccLIj0qvmAApyqCLWdL7YgyVgKJbG57xQ
la1,americas,OHvWQKAP-SQUi2EEYj9U_ePPS9u1_yq8V78OcULHDYj0oWlD5DaLbsxlfc21kKXDHECFqrNoOOlOTw
la1,americas,hg7Ilppb3S_Y8B4vHmnaKCOAdquT4RSsDnIY5Dah6AxLwtqyRm45aHr3hD5r-czCfk_8Ys2CR0HHEg
la1,americas,n_-4gGV04uLB1eHvBlklRePLjYTHBVbME-dEl3mJIBZUiXYrMBbpj0LarekndVHa9MwZoZI75b09dA
la1,americas,3FJfjU2iL8qKKg1vvbYEAtaydnN__lvsnshzfd4GzoNQV_D6hLS6z9n3FFrudH4iz-TlXrrHt4eYSg
la1,americas,dOZM9xLLf9kFVqaig8wg1KnfJnpOBtb5gy59B1FcXG3hLLIeam0_AVEi_F-esGrtD4ypEVAEGZmFhQ
la1,americas,9_3KK8bQJtpAtmHhlj2YLkwiaFpN1WItcrrcZ1-ghMsis-hhN89MPz57Jp_gHpBLWLIjiAdx8nDGsw
la1,americas,DywYU6CuC33gaxrhR8bqDXbnA-D4yZySf8s4vzFf74ucPHFUz4r_LSy4jnsSKFksHOQVL8l2-TAEfA
la1,americas,_8Oh_3bJ9Gd5AqVBBBiRAClvCJVR0V7oqVC61J-pAtJ3MiN0zmYzoMPVZIr5a8E863NCqKW5EyIAUg
la1,americas,WlOsb83qfyA0va4RZW-Y_QjBpuHwnV_x1hyNi1uaxDPMfiE07c8DD6edc608yeLs93wcbhLTGTxfWA
la1,americas,oPZJEviq2D3O1lWLdzneFsvMTo9z0N5ZuAzb3vdKTXQH2FTypem0C6-gio0qaJYME8sNJWxdnJSpoQ
la1,americas,57pxhlGM77c8_8lhJqfBsEHlary-Oe7CX4GInFq1UxOw3kU3qEvDO4ZIPbT4MSjh44BLXFbK_iJHrg
la1,americas,dFedGtEIssJn4rOtClxK9RZlMpLmjWz28MZgBzbBeQdmJlPBvABiFIn6wVzy3PskUZ2L7f0HxleVcQ
la1,americas,_-_ttW6ppK9otQhNRefY9tupouDG0ZGpKVx-s-I0lA_nk5BSdiMorB2J3-cUCaUZayyPiziclzE1JA
la1,americas,2Vo6Mo3-qVJ-QuenGulRjTxzvnBOZRjabg4MwEHrUrb7MemwNUqq7MG7lvrNpxF97tiP1X_p7aFR6Q
la1,americas,4QtsgVNNW8okOT3fsdyp5Q3gOSCf-bKi4ng0beR5xq_-2OdeqOdDSEUqcbzdmE6xX1U468VXvXJRmQ
la1,americas,1GU7ndPV_nuTajkjSF00ZQBNTP9ywuNPCsHOkjs4wC1TXmugoLc3O1bfNO2vHmkCpEaGksmh66erQA
la1,americas,H-gU3HDjYPirT22mxWGIFdYlsUxyUtvEork9SalTE8f4jBoA4EKxl3gn6DBModTfA5noKLJB_gNC_w
la1,americas,j9P_fDgGOR2o74JqL6BhXwaOHQICyprWL4t_k59KSKSFSGYB2GsvAHXLTZ4KP4cBmwLwo0PSpmIhJw
la1,americas,nSQ_lo06qudZn1_72ExA7T_ZuszgylEgVNd8rMIdSGJtwKyyd4p7ztuCjUFFY3EUsYvAH3tHBlSgwg
la1,americas,KEz_rB5Y3Zzd0bQFw9-x70HsvxDsxMTDqzzASxTHU5KhDToAzGbhTh8nVyjJ1_YHO_SefdiZhGtAQA
la1,americas,ciVlTJnTFJyl8yswMr8mfiOvap3xtTDNIVapai_TOOd7K9jRiRSbMC57SglWOs6v46UJs6NTXDkAVA
la1,americas,XfO9x2ixHGn8eOWI7VMclLi8VMwke0zMUpJbyN5zvaLgjckP8LpL7sL_SF0nSQa_KN-bJ1L-u01nSg
la1,americas,WnmCjBq0ioUBA_otz7pMExCi1djqN_wPnezjao_RKWCzgjOHWJseJoiXmTJBcZ9bMzMuqq8urgkhQg
la1,americas,QUVsVxGuycbje_XHhsB7QZBo1Sjf_nxnAIZdmhDQmpb4HLkVusKXQNXbt5IKzc1SfibaFB45AnSSuQ
la1,americas,q9_Cp6ItOEFnQ1YMQkPomgpAxz2BJZKDXpwDfstdhG0YdwpOmAuhWggPXqzcp1jZKa1sVOfN8vSRDA
la1,americas,jqOldxrT5iKYb0FOgPZe7fkjpK5r-vzYZgDeJgtx21iUMvS31l-PMfZUKz0RfLQc2V50IwOW2lQYXg
la1,americas,XixOZx2nrWoE5Pgl0D7FqOETIC-D_Ew3H3PDNT7RjWzJPmp1NryjFNiEfdK6lA83IG7VuvcI4gNCOQ
la1,americas,wSvvH0hkkSfc4UFa_jQzfUv1VRyIDNBlFglGfGZRaXDKlsGBJjJIMJpj9SUQ6aagTeC5mHQxgfrXJg
la1,americas,lBHbtgaQNI16ka_nxr3P7WrbDQjp0qoFB6Q6KzBsyb2GLhKhK4hWqcnEixJYYGZqvEagMLC9znjDSg
la1,americas,UAeOOFVZMgXs6OBWfQ9GwQR0UAVqB_hLmJCX9LpLj7RMoS7SdTNGJl-c1Jm3LJCmguBp4EceMahw6Q
la1,americas,PTNyejrZx9ELx5eQHAu42knjtDaI7-wcWzlWNNxMDWWZdwbeIFa90wUoaGbTSmEHdykidduYdvs_0w
la1,americas,g4N2g_sNiLAQqm_Bp96rHqT1LciW7G35jH9HPfcmbSR15RvrLs76IHbzjQsZ_pCSFFC_AtIZ1GZCkA
la1,americas,zgaXb84O7x6f5G1Rk5KbHTdVR22eI3Uapcmwcx-12rM-udOmKHuQYPTSfh_LmPjt37D_Y1RZVduH9g
la1,americas,Z2SrMzlb5_uClii35ZXOHD5us4YqVqP0Nr17-tDN6PY1bLeeJ49jogq3TdXs8icu022Az77j5Ml3VQ
la1,americas,2oWiCvMZ7Gv57YeaVQ1Tc1fktlumULwmw2qXWOBX126bo8RhgTaIpOFyUIq4yfam1FW7ATIqaqh7-A
la1,americas,Fdtd7ljtgigFgfdYtqDb7zg-zmUUXWlcRsZ6QQtH0u88t3ncPf4bp_GgMDfBYu7xhfXn903-SLRZyQ
la1,americas,d6pVl9CFknWZgSb02ZtDgOvt0IR_oZaUIwnh7z5c7uKhGEHu99t24Ffd17Jt1pTgBeWAGNxeI-2Low
la1,americas,rF7zWV36vO9_0DYJuQp2u2x-ODKN9cJy9IZzenQL2V-1Wvl1D1mJ7yTHj3IGAdXO_kA6wrRj1XEWVg
la1,americas,SeGndnGaGbYcqLot9Mxc9fUhGK37mkZyGupBRhSRhEImKTlVRFwAJCmyiSe4Jn9-lrqfXwAqEFS1Kg
la1,americas,iw4PodLEt8q6VjxkDzlTw2cBQ5xux32iNaHnZF2wTaEJDG341PzB7zlP-qrPP--SMS3mTnzkCNWy1Q
la1,americas,ThRpo41YObuBi6xuHWVRtn11KO3kLdTh7VGXF4YzuvcxigvFO2CoPS3PSXpdD3gNYhb8PT7WvzyJIg
