region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
na1,americas,NA1_5595216085,cHtWVb3qtgQKVv4OJBEsqzXwUI8NHL47_o068V5oCMIz0wrya-KkNcoFou2hgohvR4DKuRnD5fsNIA,Ryze,12,7,9,14090,40294,23,0
na1,americas,NA1_5595216085,FcW0uqdB_iomdV3VlBSCELHUS6Lpf99zZ90_MbxyP-XpiJNtZ5FOGMWreydMArli97QvXnovj1Vfmw,LeeSin,4,10,15,11721,20222,36,0
na1,americas,NA1_5595216085,JgFGQ6MnLqWSmT6Od0dy1k2kTQSET192zrdaXvYEFzwCJ8-pwYNB9ocq1dGWbjtuZapLSKHdsLKk2g,Lissandra,6,12,6,10719,27715,22,0
na1,americas,NA1_5595216085,QXYFZjy8yCJraSKFvoRy9DR1GuzwjcvJLJaLDdC9YNP7abeLcOIUh8hQMhGyIiXbP_UhhgNTzMv0UQ,Tristana,16,9,3,16835,28252,11,0
na1,americas,NA1_5595216085,8zFPkkzE2jxZwATkcGCkgb9t5GGwTGEuXa57VsxAOFeitp-265gVcxTO1GssBh0i3fq_IeGFWqsOpw,Camille,6,14,13,9484,22196,53,0
na1,americas,NA1_5595216085,rsjHGmXvgXeiym5FTpbqRlUavyZh2DzIqMedCi1578_zcyRamcev-nFsdaNk6C3wjaG5ZSoh3sLaKQ,Riven,5,10,10,12131,13622,13,1
na1,americas,NA1_5595216085,OVlt24c6FCAgd6ow8zESv4LtrgQMWSVQW5_cXayYOL99PsiYdKNZ3vkx3NJ82wELN7NeUCtny7nXZg,Teemo,9,9,27,14303,35761,34,1
na1,americas,NA1_5595216085,gzzJ0Gg2Nk0nI3uVwAl58fr_QWs6lGqShpVMQ9KYguil-DpMtUKGb4bGXmMvDfjm2058kKisQZfSsw,Pyke,9,8,19,12258,20608,20,1
na1,americas,NA1_5595216085,Snjt4j503peCP9ch9jEzE_tJyi7Kk5jdJRbn6djdvj765_Iln1rlXIrLS596qTUi8hiQI0F1WCB7yg,Samira,24,8,17,21457,51082,21,1
na1,americas,NA1_5595216085,JXEOC0Ew_hSiikD36xPmX6Rx4s7-yuZ9wjJJxxTA1eVgaX-5UwFgNGTSbNrj3Co3in5Ipm6Vpv8LPA,Alistar,5,9,36,10354,16030,71,1
na1,americas,NA1_5595190512,khHU3zW6XHb3oXYVZxoIdV45AyWGRcR5O-PpEJWIc9_E5HjtQGvFh5LvL3lLfWYlJi_y2jRMxrFJNg,KSante,3,8,5,8219,14029,12,0
na1,americas,NA1_5595190512,gzzJ0Gg2Nk0nI3uVwAl58fr_QWs6lGqShpVMQ9KYguil-DpMtUKGb4bGXmMvDfjm2058kKisQZfSsw,Qiyana,6,9,6,10424,14077,27,0
na1,americas,NA1_5595190512,reX_noA1TX0zVRh4ZQyQX3T2WcR7AEShLgn3JjxBucrKn2Z1dGxMPwjn6n6p2hiEisdbFhMwuVOS7g,Hwei,1,5,5,7437,14418,17,0
na1,americas,NA1_5595190512,oVAFnPyYV_tktF0_HK8O9r63MbXirD6ZP2eNVhcw7qLyrIgnuB4_IUTYQsVkgkgKZ2qAZjtO3TFrKg,Syndra,2,6,10,10395,14421,15,0
na1,americas,NA1_5595190512,1pP77x0VhoGy1fqV3wdKt--IqkAdeW2fOdF7KUASZxmTkN-gS1rTpdbbAPPWnNYdX_kev6oZMyCJhQ,Pyke,6,9,7,8466,11295,46,0
na1,americas,NA1_5595190512,JipxFvyy-1DRLQl6paWSVHUMS6_GkGSuFUpfyquzrU28s9IPhRbHqJmIzOJ5j_c0jg5uVugS-gqMKQ,Kled,7,1,10,13700,20478,14,1
na1,americas,NA1_5595190512,bc4uUfxq2uofmlx2kdVcQbz7Zzn_sTw968JfcH1INzvoYSCiRrNSCyJnZiLgu_zcdi4Br0EI1-NQbg,Draven,16,2,2,18069,27090,28,1
na1,americas,NA1_5595190512,ZzBrtsEeq2qobMfqgy8YoHvLHbCN3KniDCcFLy7yqqeWesnoI_Kg-qSgRD-SwUMzYTluXhjqkQTNWg,Yasuo,7,4,5,11910,20537,17,1
na1,americas,NA1_5595190512,1SDbj07cC2mzTKlLDOr9Q495JVSTAQnbfJvze8UrzxShnZCHqcFRe_Z8UA-N4ONmUd0LoI5l2veVYg,Viktor,6,6,5,12203,17941,10,1
na1,americas,NA1_5595190512,EEMFHWuerFKRzmUjXx35QaFm-enTK-DIifNcJKPC97P9bf0FnlFs3zykFDtIhSmILElRDASZEDmz0w,Nautilus,1,5,13,7051,7957,77,1
na1,americas,NA1_5593932028,OaPbT9t9M-ZH0tWSY6wNzrEfMyqpGK63bnOQffUHLH-rgWAyRzUSY2iuC47dMCRaUww2eP4WkjUxBQ,Kennen,6,5,3,11097,26001,39,0
na1,americas,NA1_5593932028,hROKBOCz6wSL19tJxkSPZ5TN45XsaQ6qnUNPjQuwf5Wtifl_lmMZoeKaGiMG9aXDXfOsJlj9aM5VxQ,Graves,4,6,4,10083,15291,23,0
