region,routing_region,puuid
na1,americas,cHtWVb3qtgQKVv4OJBEsqzXwUI8NHL47_o068V5oCMIz0wrya-KkNcoFou2hgohvR4DKuRnD5fsNIA
na1,americas,FcW0uqdB_iomdV3VlBSCELHUS6Lpf99zZ90_MbxyP-XpiJNtZ5FOGMWreydMArli97QvXnovj1Vfmw
na1,americas,JgFGQ6MnLqWSmT6Od0dy1k2kTQSET192zrdaXvYEFzwCJ8-pwYNB9ocq1dGWbjtuZapLSKHdsLKk2g
na1,americas,QXYFZjy8yCJraSKFvoRy9DR1GuzwjcvJLJaLDdC9YNP7abeLcOIUh8hQMhGyIiXbP_UhhgNTzMv0UQ
na1,americas,8zFPkkzE2jxZwATkcGCkgb9t5GGwTGEuXa57VsxAOFeitp-265gVcxTO1GssBh0i3fq_IeGFWqsOpw
na1,americas,rsjHGmXvgXeiym5FTpbqRlUavyZh2DzIqMedCi1578_zcyRamcev-nFsdaNk6C3wjaG5ZSoh3sLaKQ
na1,americas,OVlt24c6FCAgd6ow8zESv4LtrgQMWSVQW5_cXayYOL99PsiYdKNZ3vkx3NJ82wELN7NeUCtny7nXZg
na1,americas,gzzJ0Gg2Nk0nI3uVwAl58fr_QWs6lGqShpVMQ9KYguil-DpMtUKGb4bGXmMvDfjm2058kKisQZfSsw
na1,americas,Snjt4j503peCP9ch9jEzE_tJyi7Kk5jdJRbn6djdvj765_Iln1rlXIrLS596qTUi8hiQI0F1WCB7yg
na1,americas,JXEOC0Ew_hSiikD36xPmX6Rx4s7-yuZ9wjJJxxTA1eVgaX-5UwFgNGTSbNrj3Co3in5Ipm6Vpv8LPA
na1,americas,khHU3zW6XHb3oXYVZxoIdV45AyWGRcR5O-PpEJWIc9_E5HjtQGvFh5LvL3lLfWYlJi_y2jRMxrFJNg
na1,americas,reX_noA1TX0zVRh4ZQyQX3T2WcR7AEShLgn3JjxBucrKn2Z1dGxMPwjn6n6p2hiEisdbFhMwuVOS7g
na1,americas,oVAFnPyYV_tktF0_HK8O9r63MbXirD6ZP2eNVhcw7qLyrIgnuB4_IUTYQsVkgkgKZ2qAZjtO3TFrKg
na1,americas,1pP77x0VhoGy1fqV3wdKt--IqkAdeW2fOdF7KUASZxmTkN-gS1rTpdbbAPPWnNYdX_kev6oZMyCJhQ
na1,americas,JipxFvyy-1DRLQl6paWSVHUMS6_GkGSuFUpfyquzrU28s9IPhRbHqJmIzOJ5j_c0jg5uVugS-gqMKQ
na1,americas,bc4uUfxq2uofmlx2kdVcQbz7Zzn_sTw968JfcH1INzvoYSCiRrNSCyJnZiLgu_zcdi4Br0EI1-NQbg
na1,americas,ZzBrtsEeq2qobMfqgy8YoHvLHbCN3KniDCcFLy7yqqeWesnoI_Kg-qSgRD-SwUMzYTluXhjqkQTNWg
na1,americas,1SDbj07cC2mzTKlLDOr9Q495JVSTAQnbfJvze8UrzxShnZCHqcFRe_Z8UA-N4ONmUd0LoI5l2veVYg
na1,americas,EEMFHWuerFKRzmUjXx35QaFm-enTK-DIifNcJKPC97P9bf0FnlFs3zykFDtIhSmILElRDASZEDmz0w
na1,americas,OaPbT9t9M-ZH0tWSY6wNzrEfMyqpGK63bnOQffUHLH-rgWAyRzUSY2iuC47dMCRaUww2eP4WkjUxBQ
na1,americas,hROKBOCz6wSL19tJxkSPZ5TN45XsaQ6qnUNPjQuwf5Wtifl_lmMZoeKaGiMG9aXDXfOsJlj9aM5VxQ
na1,americas,XXPYU8VQCu7kMXIQm6uSqXKY-rxskRjrgipJ7hw0Wfvj7QSuQQUOXsN5y04juJALznhsoDrdem3G2g
na1,americas,QA_bkjUhYRVtF8_OwHKpyp3Pf4ZqZtubygHoLj43yR7kYLVDCF-m7-VgXE7-u9105JBHzb4zjqJbBw
na1,americas,n6DyAiYbU4MnyRWPpqMdRm68RLE-_4sXs_QbWm2UmU0ZpfR764xFh6mG028ZKXp5NvggJJtg3lQt3Q
na1,americas,XW6rtTzJE8SS_WoH7C5dqH6To6uIjQP-8MT6ihGOHc87VfdC5lRL2l2RB_gXhhVUXGqPRq8GUpQfwQ
na1,americas,eqSHCRK3PXHXYsuulNpu3zK_2flIewIp5YMl8t4IfuiWutg3ZIxdcadZf1w4Six_U5-Q40RZaDDciw
na1,americas,NmVs4dbmj6_lSMQYMCL4RkaqSE7YdZ0P2MtmJfxvRSvCPrw4dBUb8wzlf6zo1Ltg7cJjKho1RfzILw
na1,americas,Ch-dhlE3n9NtRAx0Y7zSr3C7GPVVfmzCxCGL-dQatqhgR50h8Cn1fEQknMdna_EryAfC4-2XjqCUUg
na1,americas,YBtIpHzKvJNfPzxVWW-_5B7kCtlZtfUB7C1APo9fCNPU3y-9KAlUf7J_OVlEEiWCwJNB5gZZ60Mh4g
na1,americas,n5lOdDVatUiUC2bNGfO8lD4LuDFhEek1WiJJLwRT4v6S2DtF1BZZsPHK4DvHuHvVWCPNA4Ps4zfNzA
na1,americas,WQX5MD3fuOZgb-9quUoJNq8C8Qbbw_Q_n0HLvA9JiE_6PdGi13nxqKshXqGHt_K-DMsvsige76Tv5A
na1,americas,swGl8QuvzPc0nooMFfKuGPNFN3uRdTOg1IHkZ7m2t8gEdV7CBG4ptDNgv0EhEY7Aiv_LuhCd44MamQ
na1,americas,nRAV73WuKZHsD9XeP9aEHCGmM2E92GrHNfgRjkKcKkdu5GwYOkaXVaVsvBwf6JkePk94JnsLzCJM3w
na1,americas,Dao1BGwRCpmym1hDyfIinit2fLnx212LqukFm78HwT1FUgA8Wcw9RGNsQh9so4fmgJ4DiSTT0K_4ow
na1,americas,rNfj1M9Lcc3KRpBCOK2lTZj07PTEMvcFcDDXcse5H_KtvRc1X1WeqIFP7spfPRRYWbuEmgQkRb9h_g
na1,americas,SMS8BrfLoEgLVpJqGAVfADz6L1Y0p9hSGUyL2KFRZZatBCD5EuGfQPxZmJAzhl-h839zWG2CU9sg4A
na1,americas,5NsjIMBJCgkKFb-pE6ft0hNGESmQ49o72Vcseoay8AMlixWvUpTM5X1D2wmNKUBqGWjN-zjo3jkSJA
na1,americas,XeGLkKRSrNYDAivdAfCpW0lpdmEgrufW7dYfz4QWTcscwKz8s11Ye-U6F6Wwjr1q3-PbfouQXq74fA
na1,americas,TtCnSuljKghmRNzbr5uWc03FN_uaoC1Cqggr_rmPq8fUcXbEsIYneXY2B8P2OhynCz5kd8zcfI-XYw
na1,americas,jiAC3sehP2DF4LJEKUanRtpuWs7HMoDfMelCh-Oys7LvysjGgAoKMhg1Tcb26Kx3wxJP1S2Lv6vo_g
