region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
jp1,asia,JP1_591445723,Pd4btEJ5ektFI1LQZBH2Y5plpjOpNQwvEgsYBKppcHMCS7_Lmo6F4gaOHJyaf1VPrluy_Jtzi78yRg,Camille,14,8,3,18603,50396,39,0
jp1,asia,JP1_591445723,oDBZ2gFDY068wD3ATGOlXyaiv0ahIbayio9_xyimyWjuJcxlHXMehqKRcv2_me9Isxm1Dm7qq8E4MQ,Shaco,10,9,6,13707,27468,62,0
jp1,asia,JP1_591445723,KjQayov2uVS0aLjbx-jmZR-xQgIAy1Zvl_sjNHJPsBHa7OZA1c9oDhFBnLZY7IX3Ac-yn-C9Kw8tYg,Diana,2,11,2,9693,12548,24,0
jp1,asia,JP1_591445723,1sSMm1aqdDECjd4Khwx9DSn0xTOFLOMlWREZ3P2sbfVPNO1Wf4a2TwflqOzHIXsTMlygO7gwKDtq2g,Varus,7,8,7,14537,29054,38,0
jp1,asia,JP1_591445723,RjRzVQC0u73rh77P-m2HrvQeawbvrjlcLneHTk4L6XbWdbsi33kql89Pmm8NWkBXXf1DHMxQGghWcg,Milio,0,7,15,9159,6821,92,0
jp1,asia,JP1_591445723,szdr7NrWoKcmGhKRl59eLkYDB3hRe1j5u9vRp9KGuUE0_4dVDe08Plo9xxWOGC8WWHeUb3CRf4sa9Q,Garen,9,7,9,13500,25343,24,1
jp1,asia,JP1_591445723,XCELYjALduU81U9FPc5q1bng8bfXNfqxpAd99NfQnb7I89ZzdCrdelDsxqG_b7afihVoVOV6sPfnTA,LeeSin,13,6,10,16337,32709,42,1
jp1,asia,JP1_591445723,rKVsXfcYqyK-FoOzysgAH2NkHIFMXNsKYFc5i9S1sbKD4ixW0EnCgPtecCBpNpXyUFCwP4GZNRZGSQ,Leblanc,14,6,12,15260,41973,23,1
jp1,asia,JP1_591445723,OK8fYuh51mclUOhJnFQEzYBq-W-wXy1a99SmCAzyw9gw224g5Sus74q24oie4oNLJYhtxQMkLTmt1A,Vayne,5,7,9,14951,23562,11,1
jp1,asia,JP1_591445723,RAoA15FSbWacBK05oCQrt7hvIfuabyVHsXAVw_HRKAJOjWt3knOCWsYKK79jEme3nmV5feNJFZinAg,Lulu,2,7,22,9996,6962,100,1
jp1,asia,JP1_591221074,UgEE_1agr8s2Cm5qoeWlV3ivrSToLUX2sal02yqIydZJ6SioEt1RszVZaNYIdEfxR2FgY-0bNW3rAw,KSante,0,3,1,8338,6573,18,0
jp1,asia,JP1_591221074,GZlWRea1DSb4Y9jix-4q5IIPUFs3-ZNY32xA3H_EM-2-arc6lOeMgzOw-CV2aGzPNeXbUVGRXKQ3KA,Jax,2,3,3,10476,11474,26,0
jp1,asia,JP1_591221074,TLazKaXVSgbvafFMtXl-ZQHKh8FzCyyDeDSsVVLHR13TNgTI4DW3vLcc_yFzMkAsJKlrIS5exjying,Ahri,2,10,0,7883,12960,12,0
jp1,asia,JP1_591221074,Gv2o3uGQHpWahrKfSyxMgFUA-kvjStADJEnXRjQdD2HMEaxTFOInV038Fzo_8qk2y7lDhW8qku46VQ,Yunara,6,11,2,11006,17505,17,0
jp1,asia,JP1_591221074,z8hnWjOraoFnlWoezALNuHUOiQOk7oMUiupPprokxjqGE7J0H_BWVKln-OAINHRnT5SrcKK0_7LiXg,Mel,2,13,3,7374,11352,61,0
jp1,asia,JP1_591221074,-Wf8IyUxU83rIML6Y3MEUIIfiuq1bJ3oSbnMbPdi3OJNEo1GMA_Ibl8Uh736ehu0PRYwMqFIRfCAFw,Yorick,3,0,1,11674,13236,17,1
jp1,asia,JP1_591221074,94blNOvV82w8OVo5Mu0LqeVCVah6APcqnYxpf9akJu2pECCMGDOjmr4RZpPNTCanMd-8aG707A5KAQ,Warwick,4,4,6,9221,9448,19,1
jp1,asia,JP1_591221074,rKVsXfcYqyK-FoOzysgAH2NkHIFMXNsKYFc5i9S1sbKD4ixW0EnCgPtecCBpNpXyUFCwP4GZNRZGSQ,Leblanc,16,0,6,13203,39324,11,1
jp1,asia,JP1_591221074,hKQF4axzSxHE4pG3qNWldIr-H5fhnJylWdr9xzEXG7Sd18Ess94ODZQLzWrqg6OYTZH5PXlSUy4eVw,Jhin,9,5,4,12761,17614,19,1
jp1,asia,JP1_591221074,KJswqr_I5ba0iCoUMr2Tzg_DdiYPMBPvIKwY1148421kOUciIAZSkgt2xTJcis0VueKVD-6rpcDPWg,Xerath,8,3,11,9972,22291,63,1
