region,routing_region,puuid
jp1,asia,Pd4btEJ5ektFI1LQZBH2Y5plpjOpNQwvEgsYBKppcHMCS7_Lmo6F4gaOHJyaf1VPrluy_Jtzi78yRg
jp1,asia,oDBZ2gFDY068wD3ATGOlXyaiv0ahIbayio9_xyimyWjuJcxlHXMehqKRcv2_me9Isxm1Dm7qq8E4MQ
jp1,asia,KjQayov2uVS0aLjbx-jmZR-xQgIAy1Zvl_sjNHJPsBHa7OZA1c9oDhFBnLZY7IX3Ac-yn-C9Kw8tYg
jp1,asia,1sSMm1aqdDECjd4Khwx9DSn0xTOFLOMlWREZ3P2sbfVPNO1Wf4a2TwflqOzHIXsTMlygO7gwKDtq2g
jp1,asia,RjRzVQC0u73rh77P-m2HrvQeawbvrjlcLneHTk4L6XbWdbsi33kql89Pmm8NWkBXXf1DHMxQGghWcg
jp1,asia,szdr7NrWoKcmGhKRl59eLkYDB3hRe1j5u9vRp9KGuUE0_4dVDe08Plo9xxWOGC8WWHeUb3CRf4sa9Q
jp1,asia,XCELYjALduU81U9FPc5q1bng8bfXNfqxpAd99NfQnb7I89ZzdCrdelDsxqG_b7afihVoVOV6sPfnTA
jp1,asia,rKVsXfcYqyK-FoOzysgAH2NkHIFMXNsKYFc5i9S1sbKD4ixW0EnCgPtecCBpNpXyUFCwP4GZNRZGSQ
jp1,asia,OK8fYuh51mclUOhJnFQEzYBq-W-wXy1a99SmCAzyw9gw224g5Sus74q24oie4oNLJYhtxQMkLTmt1A
jp1,asia,RAoA15FSbWacBK05oCQrt7hvIfuabyVHsXAVw_HRKAJOjWt3knOCWsYKK79jEme3nmV5feNJFZinAg
jp1,asia,UgEE_1agr8s2Cm5qoeWlV3ivrSToLUX2sal02yqIydZJ6SioEt1RszVZaNYIdEfxR2FgY-0bNW3rAw
jp1,asia,GZlWRea1DSb4Y9jix-4q5IIPUFs3-ZNY32xA3H_EM-2-arc6lOeMgzOw-CV2aGzPNeXbUVGRXKQ3KA
jp1,asia,TLazKaXVSgbvafFMtXl-ZQHKh8FzCyyDeDSsVVLHR13TNgTI4DW3vLcc_yFzMkAsJKlrIS5exjying
jp1,asia,Gv2o3uGQHpWahrKfSyxMgFUA-kvjStADJEnXRjQdD2HMEaxTFOInV038Fzo_8qk2y7lDhW8qku46VQ
jp1,asia,z8hnWjOraoFnlWoezALNuHUOiQOk7oMUiupPprokxjqGE7J0H_BWVKln-OAINHRnT5SrcKK0_7LiXg
jp1,asia,-Wf8IyUxU83rIML6Y3MEUIIfiuq1bJ3oSbnMbPdi3OJNEo1GMA_Ibl8Uh736ehu0PRYwMqFIRfCAFw
jp1,asia,94blNOvV82w8OVo5Mu0LqeVCVah6APcqnYxpf9akJu2pECCMGDOjmr4RZpPNTCanMd-8aG707A5KAQ
jp1,asia,hKQF4axzSxHE4pG3qNWldIr-H5fhnJylWdr9xzEXG7Sd18Ess94ODZQLzWrqg6OYTZH5PXlSUy4eVw
jp1,asia,KJswqr_I5ba0iCoUMr2Tzg_DdiYPMBPvIKwY1148421kOUciIAZSkgt2xTJcis0VueKVD-6rpcDPWg
