region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
kr,asia,KR_8287379938,bM88-RhHSRYRM_XQeVB8Vy3Lrf3CzXQuZljqjvO48vhDsfUxrTVdKJ9TxJ66vS_aVPlyQ8Y8KrXN4g,Lissandra,8,9,18,23060,41623,0,1
kr,asia,KR_8287379938,ZyGErktNPpi-rncEyzOxD8kWZIy5kjr9LAu04IL5JSZRNY6a2SFk5pyLVL09vwnnmpUa9axC11PzWQ,Twitch,8,9,15,16792,38695,0,1
kr,asia,KR_8287379938,S0xdMZblwqwKd74D2xCIVBw0mDarISQ5VrlWAeZbMESHQbqy7wqa0U8DnvkFrB76BwKTWAVSWCKgKw,Shyvana,25,7,9,20320,83143,0,1
kr,asia,KR_8287379938,xpb_LC_CXGIAdh0nnRSZdD_BN4LiLnSvfbFpY-NVolxx0zMtcm51CjWLJEhh5wa0rDEwCSK17xsgOw,Yorick,4,10,0,7705,16325,0,0
kr,asia,KR_8287379938,L5_tVUU9wKMOZ_tRLhQo9bepiM4vDKBRJ40Q1Me8Z7GNfKRw97Ml34-An9RCEcdZTRLYSmLQ_9Wd7A,Neeko,4,10,9,10338,40150,0,0
kr,asia,KR_8287379938,eMVYlEpQ54SF9irWIXynMzJiprce8EMs7DSFHWecT1rCR4wErf6lIoP_VwV0r9fbvFx4VFaqjI9TQA,Malzahar,2,8,4,7715,19455,0,0
kr,asia,KR_8287379938,lEkP9w6g9K6wdnnQWnlqX6gmzTq8BSUPkZg3noMtJoOXph4Bd2XO86bKvkKHMTZcKPH4IOOJ8GsJtA,Lux,12,6,15,28297,56239,0,1
kr,asia,KR_8287379938,gOsDvYQwVW91vYpOxqe5W70GWfhbaAXG9EczWuXoZogUCV2JCmXOU5lmYcHt2Urpg6_04jhbE7w6iQ,Seraphine,4,8,23,20010,58617,0,1
kr,asia,KR_8287379938,X3sZ5nZWJMAFmGOdUlJm8tLdST42oxSTa4e7KUx0iaFeJefpS4uTyDRTfAzID_Q5aNy78ZiZNr1-FQ,Smolder,14,7,9,16094,72333,0,1
kr,asia,KR_8287379938,avgqr_sztnJ2onz2aV0ihMlWSfW4M68HfeHAIo1vkkX_rprNl2Wj-YIEl6vVeej1hgzNAvWMB0U5sw,Gangplank,10,11,6,19974,43629,0,1
kr,asia,KR_8287379938,1C-G30jEon-MGldGAnbe_oEBZutC5VyDqGxf24MvdVtLhbDKxfNdEnwjjHimY5nX8rd-E1Zl-Pad7g,Heimerdinger,1,7,1,7455,10257,0,0
kr,asia,KR_8287379938,0gI5fWbs56YvQG36L1PrJeViA1hnhuudWWx2fmDW1Fq1DbKB793Lv9R6lqUCHiInLZAwgZlXxxIZeg,Vayne,4,12,7,10536,31660,0,0
kr,asia,KR_8287379938,fhKmsjQ_QxRNtBKhJWGejmJXnr8JaNkqBWeR4QzM69cEmeSgvUrz7rGb9C780ACER87w4Kkf3XPikA,Swain,11,8,8,11579,39739,0,0
kr,asia,KR_8287379938,-4yMVyzzBNC1-eQ_nBJ4P6s3c4bCnnVwGF7Eln4w_GwZThgEJJI9gTG_E7ejylpMc3kzdUA6xQkI4g,Anivia,8,7,17,13566,56285,0,0
kr,asia,KR_8287379938,YAP2zjuH7G43HfkajjPovLAFWqgJg8I-GLFyT_O6q_dWB85SeChQ4475E_nXHebEkFM9ZCUOupG75Q,Locke,12,9,10,14538,27005,0,0
kr,asia,KR_8287379938,MlJAvBtvr4QFACQtoZfiCnCd--NYu1DLhnat2HUprcmBDGojFrHBcyQR-FUXANoCoaz7JPQkK5BCag,Sylas,10,12,12,14574,36756,0,0
kr,asia,KR_8287379938,QZ8xqgDCrXGgoxtYr0EctFlpq3Dvb1YkbQxNoxZyrVcZIeyrP6xKZCN2abVVVj4SltyGrcn672hm4g,Sion,10,5,26,19324,55974,0,1
kr,asia,KR_8287379938,7fVdeiUUzdLQ2p7slWEC1Yvh-GixiW-A4jR8emr-u5PxYBkuCa63LUUB9jbXBr6YLQHWwjPGBILslw,Braum,9,11,18,21583,55983,0,1
kr,asia,KR_8287384069,vidIxRDYHG6NuQUB4ngWr74nvrc6HKjoZvm3HBPl8V438WKuPSfXI9U6IkCPCxv50UYY50YiMDxdFw,Viego,10,8,5,12947,39104,0,0
kr,asia,KR_8287384069,uM_JysPlTM4aU8iafUpSjzF5yY4LfUxv1W0LdX-Zj5FNFCB49wwD61ZPckZsNM1VUk_sPN1K8W91Lg,Sejuani,3,7,9,11148,23621,0,0
kr,asia,KR_8287384069,faxyvhHkyTlYarQmc7YDCUy8OpdhwQLlTWVuVKqP9u1J7HxPvMkmoGqTxVQvM1u60QdwlN8tIAy76Q,Ornn,3,7,11,13102,22834,0,0
kr,asia,KR_8287384069,bNtmGTWOZRvFLLD1jmozD4mSl8rUG0bab1vFYaSvMfoJ8iYNNn6hb5KhtuHn9aai4Oi5LCFJSo-DCg,Shen,6,5,13,16702,41412,0,1
kr,asia,KR_8287384069,S8p5Idubhq7qq17uR7NotB-Pzyg3CY1WvhG8gGCEB9X08bCyIgNjCRkflNFASc6ShEp5WdWZJD2Qng,Sivir,6,7,10,13975,37249,0,1
kr,asia,KR_8287384069,Aso_S6AfSvcVxxT1H8wFdfTUKWn0ZqYBzlzSgq2f3PEWxSTpyCgh1Phz1QNNv44ujoZVSDDud_QUQQ,Evelynn,9,7,9,18750,51626,0,1
kr,asia,KR_8287384069,U57RdHD8q0g0Wwbdj3m-Dp37-HZnWlNooStMknYWkmVXPbxeUizwCAAPmH-x4XITtRhPkg76H08QpA,Thresh,3,6,16,16008,32838,0,1
kr,asia,KR_8287384069,eOYQ5IEoNmW_-5Q8W7Et3abY9tvHbIfadsEmYoPSyRWCHpLFhaV3FGcuuvWxQLsmGhcAegGkIR5q1Q,Samira,13,8,2,24088,49324,0,1
kr,asia,KR_8287384069,_2hDWX6C4CInp6qZV2yzm1u-IA5dG6Y8BqpOfFkMg6Md5JGYAfKqJ-e1Dhd0sBNUHY1Hynam0TvASg,Kennen,3,10,9,13554,38569,0,1
kr,asia,KR_8287384069,w-An_GVFZi3sPsDONLrTw2ifJpeVu7mpiPwcXigBNXSXARWy9EAkNVl3qjfPJBq0dP9bVm-3Y_dhdA,Illaoi,0,7,1,6202,8859,0,0
kr,asia,KR_8287384069,5CJDH1xhGhasZoSuc_vBFQbhtCgH9OLRcn2iK64Gbj-sPqbwjiFzwJ6S0PCxPCifqYJwVAW3VCAdFg,Gangplank,0,7,2,7205,13356,0,0
kr,asia,KR_8287384069,2kJSy3RrYMK9qc1qjrrGM7IJhxQbQCvtqI8H0zJ9Jtmd3GBCWCz4pdohFlMMRR--gHr_mwweT5P8AA,Sett,6,7,11,11002,52121,0,0
