region,routing_region,puuid
kr,asia,bM88-RhHSRYRM_XQeVB8Vy3Lrf3CzXQuZljqjvO48vhDsfUxrTVdKJ9TxJ66vS_aVPlyQ8Y8KrXN4g
kr,asia,ZyGErktNPpi-rncEyzOxD8kWZIy5kjr9LAu04IL5JSZRNY6a2SFk5pyLVL09vwnnmpUa9axC11PzWQ
kr,asia,S0xdMZblwqwKd74D2xCIVBw0mDarISQ5VrlWAeZbMESHQbqy7wqa0U8DnvkFrB76BwKTWAVSWCKgKw
kr,asia,xpb_LC_CXGIAdh0nnRSZdD_BN4LiLnSvfbFpY-NVolxx0zMtcm51CjWLJEhh5wa0rDEwCSK17xsgOw
kr,asia,L5_tVUU9wKMOZ_tRLhQo9bepiM4vDKBRJ40Q1Me8Z7GNfKRw97Ml34-An9RCEcdZTRLYSmLQ_9Wd7A
kr,asia,eMVYlEpQ54SF9irWIXynMzJiprce8EMs7DSFHWecT1rCR4wErf6lIoP_VwV0r9fbvFx4VFaqjI9TQA
kr,asia,lEkP9w6g9K6wdnnQWnlqX6gmzTq8BSUPkZg3noMtJoOXph4Bd2XO86bKvkKHMTZcKPH4IOOJ8GsJtA
kr,asia,gOsDvYQwVW91vYpOxqe5W70GWfhbaAXG9EczWuXoZogUCV2JCmXOU5lmYcHt2Urpg6_04jhbE7w6iQ
kr,asia,X3sZ5nZWJMAFmGOdUlJm8tLdST42oxSTa4e7KUx0iaFeJefpS4uTyDRTfAzID_Q5aNy78ZiZNr1-FQ
kr,asia,avgqr_sztnJ2onz2aV0ihMlWSfW4M68HfeHAIo1vkkX_rprNl2Wj-YIEl6vVeej1hgzNAvWMB0U5sw
kr,asia,1C-G30jEon-MGldGAnbe_oEBZutC5VyDqGxf24MvdVtLhbDKxfNdEnwjjHimY5nX8rd-E1Zl-Pad7g
kr,asia,0gI5fWbs56YvQG36L1PrJeViA1hnhuudWWx2fmDW1Fq1DbKB793Lv9R6lqUCHiInLZAwgZlXxxIZeg
kr,asia,fhKmsjQ_QxRNtBKhJWGejmJXnr8JaNkqBWeR4QzM69cEmeSgvUrz7rGb9C780ACER87w4Kkf3XPikA
kr,asia,-4yMVyzzBNC1-eQ_nBJ4P6s3c4bCnnVwGF7Eln4w_GwZThgEJJI9gTG_E7ejylpMc3kzdUA6xQkI4g
kr,asia,YAP2zjuH7G43HfkajjPovLAFWqgJg8I-GLFyT_O6q_dWB85SeChQ4475E_nXHebEkFM9ZCUOupG75Q
kr,asia,MlJAvBtvr4QFACQtoZfiCnCd--NYu1DLhnat2HUprcmBDGojFrHBcyQR-FUXANoCoaz7JPQkK5BCag
kr,asia,QZ8xqgDCrXGgoxtYr0EctFlpq3Dvb1YkbQxNoxZyrVcZIeyrP6xKZCN2abVVVj4SltyGrcn672hm4g
kr,asia,7fVdeiUUzdLQ2p7slWEC1Yvh-GixiW-A4jR8emr-u5PxYBkuCa63LUUB9jbXBr6YLQHWwjPGBILslw
kr,asia,vidIxRDYHG6NuQUB4ngWr74nvrc6HKjoZvm3HBPl8V438WKuPSfXI9U6IkCPCxv50UYY50YiMDxdFw
kr,asia,uM_JysPlTM4aU8iafUpSjzF5yY4LfUxv1W0LdX-Zj5FNFCB49wwD61ZPckZsNM1VUk_sPN1K8W91Lg
kr,asia,faxyvhHkyTlYarQmc7YDCUy8OpdhwQLlTWVuVKqP9u1J7HxPvMkmoGqTxVQvM1u60QdwlN8tIAy76Q
kr,asia,bNtmGTWOZRvFLLD1jmozD4mSl8rUG0bab1vFYaSvMfoJ8iYNNn6hb5KhtuHn9aai4Oi5LCFJSo-DCg
kr,asia,S8p5Idubhq7qq17uR7NotB-Pzyg3CY1WvhG8gGCEB9X08bCyIgNjCRkflNFASc6ShEp5WdWZJD2Qng
kr,asia,Aso_S6AfSvcVxxT1H8wFdfTUKWn0ZqYBzlzSgq2f3PEWxSTpyCgh1Phz1QNNv44ujoZVSDDud_QUQQ
kr,asia,U57RdHD8q0g0Wwbdj3m-Dp37-HZnWlNooStMknYWkmVXPbxeUizwCAAPmH-x4XITtRhPkg76H08QpA
kr,asia,eOYQ5IEoNmW_-5Q8W7Et3abY9tvHbIfadsEmYoPSyRWCHpLFhaV3FGcuuvWxQLsmGhcAegGkIR5q1Q
kr,asia,_2hDWX6C4CInp6qZV2yzm1u-IA5dG6Y8BqpOfFkMg6Md5JGYAfKqJ-e1Dhd0sBNUHY1Hynam0TvASg
kr,asia,w-An_GVFZi3sPsDONLrTw2ifJpeVu7mpiPwcXigBNXSXARWy9EAkNVl3qjfPJBq0dP9bVm-3Y_dhdA
kr,asia,5CJDH1xhGhasZoSuc_vBFQbhtCgH9OLRcn2iK64Gbj-sPqbwjiFzwJ6S0PCxPCifqYJwVAW3VCAdFg
kr,asia,2kJSy3RrYMK9qc1qjrrGM7IJhxQbQCvtqI8H0zJ9Jtmd3GBCWCz4pdohFlMMRR--gHr_mwweT5P8AA
kr,asia,kO8O3I87PE9WT2tfL8i4Yg_Hn_ipHWB1OKjyMq4JwOCjqspWf51PWZ99LqYYr29XSsWooH4BTLd02g
kr,asia,RuPeXZa5O3XwPuEiSjNzowPqSUU2N4p8KEx32v_95vvYXN92zNaLeSNOfNijT7-iaQicTeyi1cXz-A
kr,asia,gMjk4PAPyM-KHOvR22noa3nesrKDLqelr1cmCDVEmJCn37gelqmlmjB2ezd84LMyhz3aeu2qq-TCQQ
kr,asia,vSBNgsxMyv8shrleW2hgLS-FUq0Bnia9H1qdq19n-SHtl8bibMBs0oOe8aFd_Y1ODmU6LugxnBCHiA
kr,asia,ylIDziT6fDe24tpc5vKNiVNf4CvpfP3jdxbRgCcxRSGMKKQgbCkmZ2e_OL3ZznYw4TArfuIRwMVCeA
kr,asia,5AvzopaD-BKy1X1eAE2_BsFEUiCQKpmija4X8hyW300mF9nf860o5yvPPMYxwX29cvL-Rg2PQtVPwg
kr,asia,tVT-MSJ4FBAT56PgNCZLjqQNyNF87YLP4loFQgN1l2W43U7w2A8w4gZhIy6Kz3ROJmQ9a6-VwsUG4A
kr,asia,RKAZ5gZiDkGLMNIIJgU4f1gRBq2QKgHe5d5fS8Xza9ehnJL1-OXmaQY3JZAtkutKIMtOI12VtBQAbA
