region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
eun1,europe,EUN1_3974203369,i9zoM6K-RHGf51TlKoDcycs4-y2R_3oFL5UjYULOrUNksu-g6JNECYiYKYoA7DgqpH0iCP7cmZDCyg,Pantheon,3,6,3,9787,25107,19,0
eun1,europe,EUN1_3974203369,UCBFdSiEBCdbJ2ZdGdOEq1vYZCwvva3mun3rdy4sMV-UnoExLcJ5Kawv2CGjYnJBrqbRvS66mmnpGg,Hecarim,4,5,7,12478,16773,25,0
eun1,europe,EUN1_3974203369,Uh4lWo-vGQ0PRCwiqnopPkrR-K3_HUKNNFXeioqBdrqD_0z_NOh0JCV8-c3XLoQvYI939UDAAV6l0Q,Hwei,10,8,5,12548,41776,24,0
eun1,europe,EUN1_3974203369,3YhIrq-kG0wkUZtHIk1OuUlVvh0TyQzOUvLKYuHWCjFC8ZnQ1p7AQhb5gk7wt4XBIFNBb-bVWMvABA,Samira,11,8,3,14769,26523,15,0
eun1,europe,EUN1_3974203369,Jm_xIRwICzdjFp1XbHAO0yPSkEqoa1jhR-PoPoJnp5SritKddr-uWd9Q0MirNnW1hvuzbdryXiagdw,Nautilus,1,6,12,7621,7841,96,0
eun1,europe,EUN1_3974203369,7U3gHCpgdWVolt0penY_mPfH8E8Qo43jboxhdUsQwq0mxR689MZTLeXT12aW9SZS02ZuDHiRHcRjEg,Tryndamere,9,5,4,15267,33390,27,1
eun1,europe,EUN1_3974203369,DFSnpD99FHKqggRZdZLoAW15Bzf4hqSjjIa-J85LOzK1aV9VGUfnTSPHXpO0760Hobk9Q6NIphzmKw,Ekko,10,4,6,15519,19949,26,1
eun1,europe,EUN1_3974203369,Ksj2nHi2igw-SoT0lgPMFnfojQKvOhQQTQxRDA1ewHBW3CAL1muizhS-STIu4CQCwBk43WKXhOFKeA,Syndra,7,8,10,13035,21186,13,1
eun1,europe,EUN1_3974203369,P0vKSLi5HYjBFajJ9kj8-s2jItBWhNlvZphs15vkALlilei-c_k6YGA6Dd6Rd2UTgUXpSCub-LhH2g,Caitlyn,5,4,12,14468,30355,18,1
eun1,europe,EUN1_3974203369,RZ6UJFKJ3cb5ZeWpjcdvUCeAdE4kmL1u4Lz3rjR1GGmgsJZOaJaIak5ocK8Y-_rbNmrhgtE8KBdxag,Maokai,2,8,17,8718,11588,76,1
eun1,europe,EUN1_3974181309,vcoki5c7bv_iIyJwriOWE2UX9a2iRB1C2Ucq6vNMyssOvEE8YEjUO7aIKfTm7mYyEixGhYFn5VvDyg,Sion,6,4,5,8754,11521,6,0
eun1,europe,EUN1_3974181309,UCmArxRpuXE8-_jRNKKBwnY0cVHUw9o5MxAdPOpsRWgoJPMs89TOOSMNPi9eT_xVZNK6CqrUsN-qEA,Gwen,5,3,4,9371,13217,17,0
