region,routing_region,puuid
eun1,europe,i9zoM6K-RHGf51TlKoDcycs4-y2R_3oFL5UjYULOrUNksu-g6JNECYiYKYoA7DgqpH0iCP7cmZDCyg
eun1,europe,UCBFdSiEBCdbJ2ZdGdOEq1vYZCwvva3mun3rdy4sMV-UnoExLcJ5Kawv2CGjYnJBrqbRvS66mmnpGg
eun1,europe,Uh4lWo-vGQ0PRCwiqnopPkrR-K3_HUKNNFXeioqBdrqD_0z_NOh0JCV8-c3XLoQvYI939UDAAV6l0Q
eun1,europe,3YhIrq-kG0wkUZtHIk1OuUlVvh0TyQzOUvLKYuHWCjFC8ZnQ1p7AQhb5gk7wt4XBIFNBb-bVWMvABA
eun1,europe,Jm_xIRwICzdjFp1XbHAO0yPSkEqoa1jhR-PoPoJnp5SritKddr-uWd9Q0MirNnW1hvuzbdryXiagdw
eun1,europe,7U3gHCpgdWVolt0penY_mPfH8E8Qo43jboxhdUsQwq0mxR689MZTLeXT12aW9SZS02ZuDHiRHcRjEg
eun1,europe,DFSnpD99FHKqggRZdZLoAW15Bzf4hqSjjIa-J85LOzK1aV9VGUfnTSPHXpO0760Hobk9Q6NIphzmKw
eun1,europe,Ksj2nHi2igw-SoT0lgPMFnfojQKvOhQQTQxRDA1ewHBW3CAL1muizhS-STIu4CQCwBk43WKXhOFKeA
eun1,europe,P0vKSLi5HYjBFajJ9kj8-s2jItBWhNlvZphs15vkALlilei-c_k6YGA6Dd6Rd2UTgUXpSCub-LhH2g
eun1,europe,RZ6UJFKJ3cb5ZeWpjcdvUCeAdE4kmL1u4Lz3rjR1GGmgsJZOaJaIak5ocK8Y-_rbNmrhgtE8KBdxag
eun1,europe,vcoki5c7bv_iIyJwriOWE2UX9a2iRB1C2Ucq6vNMyssOvEE8YEjUO7aIKfTm7mYyEixGhYFn5VvDyg
eun1,europe,UCmArxRpuXE8-_jRNKKBwnY0cVHUw9o5MxAdPOpsRWgoJPMs89TOOSMNPi9eT_xVZNK6CqrUsN-qEA
eun1,europe,lWO7Rn2pP1RuvmQol9ZtnSVeCx5kbn4mRk2BTpg2bbHnsqltDsw5eaHFETgDuGtePl3_HngHmIeYQw
eun1,europe,IMx-E5osy4ex1I6slPRVqQqtrlZaw2hky7XUa9s7K_k4_oeDgoF_-CA0nqr7eApfx6aI5QJa-Nvfzg
eun1,europe,vvkO33Yp2s9y_W7WLY0TvNLf79fETxyPdlRyhkDAb1A2awvUOjzr_W8HXpt2n1t5CRg3_mXXuIDQ9g
eun1,europe,UvxXbYpFXmieff9DeEMmahxFHfLthJ2TNP1ECAC6P_cyHx554EnBMwLsok8AIIHVkmBL0YiPxWPDcQ
eun1,europe,aBkI3BxnzcwUDzVfZdx2i0SDRy8A8rKBjj0YBW4br7iWSCXuG3cUbE0JJe4im3CiLWwQS_JTeh6s0g
eun1,europe,4ArwOuHAWnpd6qSuvoQRVHTv0b0d16Cuge_x8I8qCyMRvdjbav2JcYKQyPfDgej7rFBVtq2navbyng
eun1,europe,wQOnN1Rkgs4f2BZzFLA994ZKWpLz1uyvWPQ4dX0KFQZ2sklPry_tea8nzSxOiEneW2SWycSsRqsWjg
eun1,europe,afT8CudbzKmD7hyxMxn2Ra7VPVCAVbGhZzSnX18c-ghumbZdJTz24-EBgejl7YG8Kg9fUWZrPLR-Ng
eun1,europe,F4lxIMRpmr_AsM4rUC_-D28Aaj9Uqgm19e0J0Ae4ghTcf1LpHJW8jEkr6mAkpEyy3MhXqF_XjST1Rg
eun1,europe,zofQY5BKwpvjnUD9AD-8yC424n8fANzTXDxzImfw7xiaGIG9458cis-ANeE8zWaWQ_9CVsBj9P8WxA
eun1,europe,63uKRe52ByVY6wF0HI9Xrm8Uivhesc-Ql49MzyaNCKxnwqf5WlvTQXLi55btjw0Uy46ni8-Qi1jmgw
eun1,europe,dlE5466OWtgpv5H9mdF9jzYC8BaLFEeBTOTuw_qnbEMSH2nlLnkmKqDhdPzHDHl9iSAi_kz-yBpP_Q
eun1,europe,ZJVtfnfRX2OUAhF6Y6ooDanYU9DHG6mInrZThd-MQW8b0yPH7TPTlKsMByIhvIc7tj-zV0wrdZDmxw
eun1,europe,YsLNxE2O85-bwWT-CAjkDtnZvfePAPdsWm162G5Z_pSaTa7WUyxEG9AZuFc7LpMhprblTJ1sqNKU-g
eun1,europe,XR5kcF7TWRWiEa-vpJ_vP9cfPtJn3Zjm7QEZlYOyRLqQVyMZozrIhnbY-S08g_9WigdCE0StPTGtvQ
eun1,europe,i1Ag3n73GabX9LPLKW_E3TnjEk8zH0vY5u5yzGiXTk0lbeiE6IDPkhWHm6kltQNWNA5xRuPMFIfgJQ
eun1,europe,e0__C1tev3APeHivMEUqDII-vblZrvhrGVwaHmyRq_Dmx5YwJKps4hOaWfhjLPV5tLBK71DnfLmYXA
eun1,europe,KaExo0AWDMe_Yi-EGKpvOsNumKAZ3cYhL0zkqv3wZZvBpjPK-WrNvyFjrSGpRoowr7L8XH3AbzWVdQ
eun1,europe,c9YuoXrGN4FYUh6fgAf-G5xEs-IU9-lYEvOmV9oIBLz1ULnkM18MVGNAbjjw0x_x5oTrK3HQ4EGMwA
eun1,europe,oLu1BiW3DMfwzfrvNuF_aZt_hs9ruOFQoPvp_Qc4OLvMnz78WG2v96MWsKM2wnYBxufzkk4SRZVggQ
eun1,europe,hUXnjXs9mRT64-VN5PHNqVGj855I3AHBq6z12Aw7pL-0tGo6hSSfauVy4sPCS8JFBvAHgQqz1RagOQ
