region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
euw1,europe,EUW1_7910038322,xmk6yfyGWd-uN4qBB5LoV2P_TGF9fAnA0kVf49eOtxQOKWF461wovObB-Zs3YX3JHLe4fs_vL9tNlQ,Ahri,2,4,6,12897,27963,53,0
euw1,europe,EUW1_7910038322,GYlj4Vu4AxuiU8Ze6sj1osVP0jgDrYE4RJV9l95k72HXJkFnMhpWjDYi5NjyICvMcrT6oPX9AYmdzA,Graves,4,5,6,15745,26730,49,0
euw1,europe,EUW1_7910038322,iptyrjXbEt7DQWRXIlYHMkdqKQLEc_igEbHBy-4PDnF1re7ABf1Y-canFq1e9NM2RfckcQOluBivhA,Ryze,4,8,8,15391,32283,24,0
euw1,europe,EUW1_7910038322,ukXvIwCQoKFbh47NsvDzWnEkgDpyR0DO1rtT2HvK4eos1Av_rIpLDaGWDhA23A56KXZFilYW-1rfHg,Caitlyn,11,11,7,19031,39609,28,0
euw1,europe,EUW1_7910038322,HCSlUQY7Zja0QBC0-k_TEpOgE2i7tXMeTbLP5nu0XvTKjgxmlqkJk66_OcnkpEDL2H2br6FFi91hDw,Pyke,2,15,7,10090,9224,153,0
euw1,europe,EUW1_7910038322,vG-8RgIKIClD2pkv85VPujbM1wn3dF6D5rYNLYASj3aIBSS92irAPWDNfOj1uKuJAoGxB1kxUTTSHg,Aurora,5,3,10,13712,21839,66,1
euw1,europe,EUW1_7910038322,5xJtBjG6jdS46ZpNjSHcAJjIpsnCcwNBOskMJBwIuVAfvxA5zDk7pyuXPMVSfQjJPsk0EL8ysCWbuQ,Kindred,12,6,14,17170,35336,58,1
euw1,europe,EUW1_7910038322,YK2WN0IcYkBHlTyPwn2_Dmr_u495dXX88M6WV0I2y08SkNy_bqs4t0Ysds_Vl6A1lzdkyrCNX5sDbw,Azir,10,3,9,16330,37309,39,1
euw1,europe,EUW1_7910038322,_SaWHreg98JSMmAbbuUmT5pJupkb5KBEb4x0iDwhStWaZ1h-9HYZtGaYROrZjML1G8AVrk3J58AS4w,Sivir,15,5,15,21869,46045,16,1
euw1,europe,EUW1_7910038322,csqlKAHH4meIyf9DNnydveudI54UxdoYGCyjIJupGGYgDLUsA9b7za73Ft_I5HcH-UIOZLE_MmC0NA,Janna,1,6,27,11149,7885,116,1
euw1,europe,EUW1_7909998997,ukXvIwCQoKFbh47NsvDzWnEkgDpyR0DO1rtT2HvK4eos1Av_rIpLDaGWDhA23A56KXZFilYW-1rfHg,Ambessa,2,5,4,7579,6719,24,0
euw1,europe,EUW1_7909998997,_zEI0afk4bhyTFWvuLSJf1nW1ZPDQwMKI1cpBJce7b6iTWhal0Zfjq_iJM00HJVHoq4buhXrudc0CQ,Sylas,4,4,5,10506,12286,22,0
euw1,europe,EUW1_7909998997,GDirPNLorAkvJCT9NY-RINN6lcmTLjkOFlY-pckjgcI-fcXMWkHlumseYXFXC1y-ag64LPWjJ327OQ,Ahri,3,5,5,9876,17076,13,0
euw1,europe,EUW1_7909998997,FUQvFhwZ9MyClsvIcH9SJ4gt6Z6MDazwV-x6Cj4dk1vSeM1vhSnOwjP9w3TfI2JvCy_0H3yciFK88A,Kalista,5,11,2,10484,14814,14,0
euw1,europe,EUW1_7909998997,5eyYYIZhEEX7JOL3EK3l2P8jQt1BK1YJDX2cwDMkVUwhpycrVHUPxNLwNwejb5-qaQ4xpJ-EGz73aQ,Lulu,3,8,9,7140,9111,46,0
euw1,europe,EUW1_7909998997,_SaWHreg98JSMmAbbuUmT5pJupkb5KBEb4x0iDwhStWaZ1h-9HYZtGaYROrZjML1G8AVrk3J58AS4w,Vayne,7,0,6,11621,18398,32,1
euw1,europe,EUW1_7909998997,GYlj4Vu4AxuiU8Ze6sj1osVP0jgDrYE4RJV9l95k72HXJkFnMhpWjDYi5NjyICvMcrT6oPX9AYmdzA,Nidalee,6,3,9,12424,13034,32,1
euw1,europe,EUW1_7909998997,iptyrjXbEt7DQWRXIlYHMkdqKQLEc_igEbHBy-4PDnF1re7ABf1Y-canFq1e9NM2RfckcQOluBivhA,Jayce,6,5,4,10429,15551,15,1
euw1,europe,EUW1_7909998997,vG-8RgIKIClD2pkv85VPujbM1wn3dF6D5rYNLYASj3aIBSS92irAPWDNfOj1uKuJAoGxB1kxUTTSHg,MasterYi,11,5,6,12629,13956,12,1
euw1,europe,EUW1_7909998997,N3yPcjM-Qq_xoJfTrxTx_WQbZkKNe5FqQ6VoeAsm0I0TQWDaU6dmIVEOZrpZwrvBZog3xe4VU1-9WQ,Poppy,3,4,16,9013,15005,67,1
euw1,europe,EUW1_7903341045,cL3nCmcmjexb4BI5tWrM-FYL7UH0OGju3T0NKMZvp9KZk6hnQyK6gWHvt3zE-kfu83mvdi45fAXBQQ,Singed,0,2,5,7742,15291,18,0
