region,routing_region,puuid
euw1,europe,xmk6yfyGWd-uN4qBB5LoV2P_TGF9fAnA0kVf49eOtxQOKWF461wovObB-Zs3YX3JHLe4fs_vL9tNlQ
euw1,europe,GYlj4Vu4AxuiU8Ze6sj1osVP0jgDrYE4RJV9l95k72HXJkFnMhpWjDYi5NjyICvMcrT6oPX9AYmdzA
euw1,europe,iptyrjXbEt7DQWRXIlYHMkdqKQLEc_igEbHBy-4PDnF1re7ABf1Y-canFq1e9NM2RfckcQOluBivhA
euw1,europe,ukXvIwCQoKFbh47NsvDzWnEkgDpyR0DO1rtT2HvK4eos1Av_rIpLDaGWDhA23A56KXZFilYW-1rfHg
euw1,europe,HCSlUQY7Zja0QBC0-k_TEpOgE2i7tXMeTbLP5nu0XvTKjgxmlqkJk66_OcnkpEDL2H2br6FFi91hDw
euw1,europe,vG-8RgIKIClD2pkv85VPujbM1wn3dF6D5rYNLYASj3aIBSS92irAPWDNfOj1uKuJAoGxB1kxUTTSHg
euw1,europe,5xJtBjG6jdS46ZpNjSHcAJjIpsnCcwNBOskMJBwIuVAfvxA5zDk7pyuXPMVSfQjJPsk0EL8ysCWbuQ
euw1,europe,YK2WN0IcYkBHlTyPwn2_Dmr_u495dXX88M6WV0I2y08SkNy_bqs4t0Ysds_Vl6A1lzdkyrCNX5sDbw
euw1,europe,_SaWHreg98JSMmAbbuUmT5pJupkb5KBEb4x0iDwhStWaZ1h-9HYZtGaYROrZjML1G8AVrk3J58AS4w
euw1,europe,csqlKAHH4meIyf9DNnydveudI54UxdoYGCyjIJupGGYgDLUsA9b7za73Ft_I5HcH-UIOZLE_MmC0NA
euw1,europe,_zEI0afk4bhyTFWvuLSJf1nW1ZPDQwMKI1cpBJce7b6iTWhal0Zfjq_iJM00HJVHoq4buhXrudc0CQ
euw1,europe,GDirPNLorAkvJCT9NY-RINN6lcmTLjkOFlY-pckjgcI-fcXMWkHlumseYXFXC1y-ag64LPWjJ327OQ
euw1,europe,FUQvFhwZ9MyClsvIcH9SJ4gt6Z6MDazwV-x6Cj4dk1vSeM1vhSnOwjP9w3TfI2JvCy_0H3yciFK88A
euw1,europe,5eyYYIZhEEX7JOL3EK3l2P8jQt1BK1YJDX2cwDMkVUwhpycrVHUPxNLwNwejb5-qaQ4xpJ-EGz73aQ
euw1,europe,N3yPcjM-Qq_xoJfTrxTx_WQbZkKNe5FqQ6VoeAsm0I0TQWDaU6dmIVEOZrpZwrvBZog3xe4VU1-9WQ
euw1,europe,cL3nCmcmjexb4BI5tWrM-FYL7UH0OGju3T0NKMZvp9KZk6hnQyK6gWHvt3zE-kfu83mvdi45fAXBQQ
euw1,europe,BCsDFMzXLfHPNPVLJJhwBT4x-6MP4S6gDdrvJncZJDvqTb7V2QBrs_4_w4eHczr82ZO3lE1ycnuvqA
euw1,europe,peespNGd0_Or3aODdZvQHI_8slys7DZdhFS8-kU6BkpMJHzwrERC9q97ZxAd9z4qQVF9G01FKeDE8g
euw1,europe,Qx9RVXZyorc_gYDwM-RtzDCy_B5ZB39HxyvIOA4Zr_L7AjxyUU6FwGDv1CF1zjX_8ll_fRiXFySgTQ
euw1,europe,DdJPhXiM3diluJc8IhSQY8SouhIjRMpQPV_fyXWD3nNCn1aywX6RJrqFQQVaihZxAheHosgYq5c6rw
euw1,europe,Q4xZRo29X56VgZsRX-i7Tdpgz8p7HXlLoC7qxUPYiHoIJH7KiOKS5w0wHJBwwaAaOKCHNHvO7EtaeQ
euw1,europe,PEUVph7aM32WHwU3dlIbav_SV5zwgl-UNbMWYrauyYfouRBMFiy6nXKDd7viI70jIatI_PyWmyA1Kg
euw1,europe,UAPqgAeHaB9GW7m80bauRC3ZoHuYtZEZPp0nOuk34W0HoriaeFZ74E5XEI4bYEkHUPQ7fRmNzPiAww
euw1,europe,ctTwK6X-F3AnWncFixdxklyLpht-tZqGjyPEwY_lyiVxX-P9ib2GyMdpEKUnpBgs4-Dz7GvMlsm4hQ
euw1,europe,fZf3gdG-lGbGVnN49KpB5qmPlljfHsbxOyKreF88-N_0ZKuoBWMOnPQN3Un-5ihjFVY16HzszA6-DQ
euw1,europe,E4QaAToQg3OKR0510eE8TRYbQ3uX96jZdUpjhPbeX9h0-LjaHe0EPaNW0UPhXMWrmdi1cDXHQE5nUQ
euw1,europe,7cVZEsL-WeG8kluIEOKC_qfidHf6PfuM-RToXebfJCn1fiQL-aGSkFuGgCahYe7fB6ejW3DgPdfP0w
euw1,europe,46FSKWexPs545vPfKxGiU7nAK6d882jkWjoSlCiDSQyvsrt8rICpgYqo8MCw2ArEasHNPo3G2jw3Vg
euw1,europe,GxXm43wm8s0mWksQ6Zs7q6OJZcTSib256DEZb6Ja_PLzltjpayjvjfq6pGZSCRjFSqQCRuJx6UjqtA
euw1,europe,1DlmJYHCWAf8bsKCzFp2fSSQ0qShQC8retKqn5y1oXsCyCNoTpc6TtMeY_u4X7kIb4BgvUXSmhdYJw
euw1,europe,U0Kb_g4m2r_RTEI0DqT9kAzdEqdre6pwoTY4N3auv5uzN5zJegfI2iCZuEWHoMMQKgwbEvEm8E9qdQ
euw1,europe,KWu_0ln7oH1j0hgicMYSOVmhqaAbaL_N777S0Va1bZeNgyMuzI9utfWhwINMoq7iIUD57e56wA7pew
euw1,europe,nRhCIlF5Fc9QtUNtw8gKr3lT1T4zAXdZDbf9YsCxblYLtd81-AS-bl58mSct7TOMwf7yyjiCY4UofA
euw1,europe,hiw8PKDCYCcf6umzUS31x5ITd9qxwGCkcBf8UZxOJnaIvjxqHb9iKQ7fBmN50M-B9g5Zfshh6MjIWg
euw1,europe,cQpCXQ-XZapFcCKKoSeH876myTCItyJEE2KJN__JJclV_7_5rmiPYJKySTfRBv2kocSV--xNRDdGQw
euw1,europe,XXlD9Fv1Qg9GomLU3AMTGOOgTuHSBmHMs2Dx5ciyHoHnbTOa7na2jlgVMUZ2q5AlCAsZVsJitq3BqQ
euw1,europe,iD13AZGA5VO2vntTH9tFawIlevIQ1CFAq5CP9q3YhggNOQQvnuzOLp_Tg3YeDobdKqUXBrdp_d6b8Q
euw1,europe,p60pn62Zt9OzpLXHt1tYoLXyjt5NMGUP4w7vGsKWWAaUrXhfzG1bRnBqfEV5254OpFgMC4uG9i84Lg
euw1,europe,r16EbtLbmdl7zA3_WdfQnFminkANK4KB-yCSALGNaWOWbMCBAc5edN1Z7kqJbQlawrmfbGqhyq6nag
euw1,europe,V2ZfsH4EuIkw6iGUdj93MKvyW3AKlpGAnLA-kxpLV8k134K9EPOq9CtA3P9D-JK_P2g94rhKG01jFQ
euw1,europe,Lx2HW12_VrOCE7_ytIwmjS7qRRU8thdL7JApafQ5JXOLraKtDR4k667lw5kaxJq_HX0vvnRHgf1dmg
euw1,europe,jcX5r-UcfqLG0AKl4P-dnQ-ufXt2ophIBRAz9hzHMh-iOQPa8e4L6XTioANte6L96CNH0tmzhglJ5A
euw1,europe,qTexvjShhT6rXHnFgCbHYG1FiZHRUdjiKXoPtTDkglfo7xb2EkYAHyfJZuOROFEPNXuArNX1oamngA
euw1,europe,b-jrXKxIHd9qMy0Yp4FFY8hj3bUXsTf0I6k4FdoHUbB4dzYqlZZkQOkOb_pTr2GDgCykn_NrxlBtHA
euw1,europe,HKBKSDaLpzrcQImz2l9OMxRpbZ4tVjZyJOeRl5HH3Yt8alsDVSREyOEse0cUCZ1qdQCOySacFg1KOg
