region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
ru,europe,RU_563882330,6HspYPCWq7y-GXwMOvoKK3bvygL3c8ZP1lIgnWV3xgSFimK6WlDcM-baj4YUIMj9-U2VQsgmnWV7Rg,Jayce,3,12,8,12508,23446,36,0
ru,europe,RU_563882330,Io6wtrRgEYTbqZ9PDCFtsu2oBqOU08qC70V9Vmzv0PbIougoG36c67w_FqZ4pYPeuiYVDXjiYiR6IQ,Nocturne,2,10,13,14067,16571,29,0
ru,europe,RU_563882330,ABJKKyxQxzCySGdMCVWpXDEWL9tRKMXP5_SIJXvmHXHqn-lYa-oKr0FGU2ngGGiS2bxPvuRhvub07w,Locke,16,12,3,15035,41318,30,0
ru,europe,RU_563882330,S4BJMWPsiYa1bWIlPJikbDlgPcoSa0LemDDfY-a1SgRO3_aLi0NkY1gx5jeWBf578HI9jRkV0jnS7g,Yone,21,8,9,21035,64399,22,0
ru,europe,RU_563882330,WZPBYbFrKmIs197aObxfeAFgyEcGqbh1h8HOJPdWZCRd4bBZCb3OMOOh786nAAipbAQbFHqpj82dww,Soraka,1,13,22,10962,9315,94,0
ru,europe,RU_563882330,T6OOLhjoD4nvFgFud_7sDtP2T7hLldrLYZaKuPqA2NvrnT-Hx4lTbOaJlDNqI8mM2sNCYiLjdiIyrA,Quinn,24,7,4,20275,69255,56,1
ru,europe,RU_563882330,eqfkFAVmDsYpwm0r1UBUn_atIiGRJ85qVr5T7Wx_FcCzRv-BmeHlM4LOFGlS3WNg9uXiITyhPS93Fg,MonkeyKing,11,9,18,18693,35526,33,1
ru,europe,RU_563882330,FpIV8C95iQxdQ-9svIkG0GVRBGyGP2Qdt-O6hqi4GPcPrU6Ar0xPj00BgXJv56SitVBECfK4V7yDOg,Xerath,10,6,25,15269,52879,34,1
ru,europe,RU_563882330,0gFoEu5mpS7hsQueQgB6-zDu3kujflFmouV33daulnDGLkx-JiOpAabGaEJOuV291daMeJxt_66nUw,Nilah,8,11,12,16990,30893,14,1
ru,europe,RU_563882330,5PgA67RgHE3wdg9NL65G4ev00kb2aBJIWaCeniqcpg1ReI17buhF4zJhHYY9TWkuB6jYDnLgvh5Lcw,Seraphine,2,10,33,12024,16990,133,1
ru,europe,RU_563877125,hJnP7Y6M5-gZxXnTEtmYdFHQJTmms0ZCEgJ1qTdk3tRjbwJX8fWOukaNqVsizdyOfrMMhT48gjh7fw,Sion,2,6,6,9972,13552,20,1
