region,routing_region,puuid
ru,europe,6HspYPCWq7y-GXwMOvoKK3bvygL3c8ZP1lIgnWV3xgSFimK6WlDcM-baj4YUIMj9-U2VQsgmnWV7Rg
ru,europe,Io6wtrRgEYTbqZ9PDCFtsu2oBqOU08qC70V9Vmzv0PbIougoG36c67w_FqZ4pYPeuiYVDXjiYiR6IQ
ru,europe,ABJKKyxQxzCySGdMCVWpXDEWL9tRKMXP5_SIJXvmHXHqn-lYa-oKr0FGU2ngGGiS2bxPvuRhvub07w
ru,europe,S4BJMWPsiYa1bWIlPJikbDlgPcoSa0LemDDfY-a1SgRO3_aLi0NkY1gx5jeWBf578HI9jRkV0jnS7g
ru,europe,WZPBYbFrKmIs197aObxfeAFgyEcGqbh1h8HOJPdWZCRd4bBZCb3OMOOh786nAAipbAQbFHqpj82dww
ru,europe,T6OOLhjoD4nvFgFud_7sDtP2T7hLldrLYZaKuPqA2NvrnT-Hx4lTbOaJlDNqI8mM2sNCYiLjdiIyrA
ru,europe,eqfkFAVmDsYpwm0r1UBUn_atIiGRJ85qVr5T7Wx_FcCzRv-BmeHlM4LOFGlS3WNg9uXiITyhPS93Fg
ru,europe,FpIV8C95iQxdQ-9svIkG0GVRBGyGP2Qdt-O6hqi4GPcPrU6Ar0xPj00BgXJv56SitVBECfK4V7yDOg
ru,europe,0gFoEu5mpS7hsQueQgB6-zDu3kujflFmouV33daulnDGLkx-JiOpAabGaEJOuV291daMeJxt_66nUw
ru,europe,5PgA67RgHE3wdg9NL65G4ev00kb2aBJIWaCeniqcpg1ReI17buhF4zJhHYY9TWkuB6jYDnLgvh5Lcw
ru,europe,hJnP7Y6M5-gZxXnTEtmYdFHQJTmms0ZCEgJ1qTdk3tRjbwJX8fWOukaNqVsizdyOfrMMhT48gjh7fw
ru,europe,3Xryl0B8DJR8Ml8TUTmfK44DLFD1VvRjw9HIlhME9NNUHgN09i30YVzuUkhPq8_Bpkchbhof3vT3_Q
ru,europe,7MowEpeCZwNHIYc2eELyjevW6skZS9AjZU59KiYt3oDmvH-a33dwiYxqvrJF1AGZr4NKYn-kjt4OSQ
ru,europe,q_3fIUb1W0bGm9ny_l-umnSf7tBnzmmZdz28HP_U0wroPFsMlf3jhO-CruoFJ9s3NSltfTsdpBTeeQ
ru,europe,h-ilKRign0LO1Z07MH5YzAh0_PdFBhReAFpGoufhXDdnqvSMEV9XELi_0wbGn30WqoGQwfO2AhEllw
ru,europe,cV2t7PDtRPgUfLa66HsLb8QBe9Z54Wse_FQtVhCpuo5X1gyLK783lFn8ZU1z-WpbJE0wOplA7lmn1g
ru,europe,ED8rfs5IiJYQb2uA0-18Aa0f615ql_lgiC40D-yewkNrhwZ_NklObt6iph8Snml-rWMrjU4zgARMHg
ru,europe,W07ftH1SC0UXo4mhzDOviIHJfHi-RAlx7YIT4RPiEyboO22WYMg7uNMA_v69MjoiDqCrrdN-tWSRUg
