region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
tr1,europe,TR1_1725145853,5Yx1oFOn-3Q5wP02sA6hV8dOUsSBEqK-pP8FsDaGPI8h73izb4i3geFPGIARKZDyiX_fPcWkWUQoOQ,Diana,4,8,6,15727,25008,0,1
tr1,europe,TR1_1725145853,UaF_qrOYEhDGda7gkvwKFHG1Ayv_EeKm5MJuDpR4NSXLMDMZTS3BdlGzqXhgWNXg6i0T50jprKGhLg,Evelynn,1,7,1,7113,8454,0,0
tr1,europe,TR1_1725145853,DR9sKwGUUIrTvraOdlJ16ppTS_hmhtWxkRoljsSzvXTFdLzagGvCE5VIASDTNxIzSz3unS3t1wHEHw,Aatrox,5,7,20,17028,54769,0,1
tr1,europe,TR1_1725145853,I7933XnpqpgdJdkmHL8Nt6xe1O8Z6zJn5g-jg2vsUK588sVJXWt_W93JgkV-tMc1LY2OXwnp-taZlQ,Kaisa,9,7,4,12060,35434,0,0
tr1,europe,TR1_1725145853,dkMQVFGeZJDvyEhGhRTqCO0NRup-rn61bHMeGvry-MKShW9Q-ATd4fTDaOsEaRcrGXXOeLHQGR2M-Q,Blitzcrank,0,6,2,6800,9271,0,0
tr1,europe,TR1_1725145853,Vw0BpLYZNJpj8_2udxmsK23ghaI0HOEjm8MNI9-7S2EzIjNUZesbboT9luEMdA5TtVbLqLOVdpM_Zw,Viego,17,4,8,18697,77682,0,1
tr1,europe,TR1_1725145853,Srm0nguqC5Dca6nNmhpacYg2MEKged2s5FewqRCFHN8_pdD-LDoICQD7brPH62WcF5j3HAj4l4cNWg,Smolder,3,6,1,6952,22736,0,0
tr1,europe,TR1_1725145853,boPEcogyUhkYX19iHxc885ZYmLih1EJa6OHoZvHi0iSdpV_oDouCTTuL1LZTooBZxPECE-4rgp143A,Xerath,7,6,10,10759,33264,0,0
tr1,europe,TR1_1725145853,Ze0FUX1JP-8oTSm7-LCLR9y_agmBGYti7fm1hhmmjnHeymKnQXa0eGWYTiVLgr55-8UbDrYWgtz_-Q,KogMaw,3,4,1,3874,8630,0,0
tr1,europe,TR1_1725145853,YwCQSnI4sCsMJmlv-sPM0LJKaPrLrIp76g9Egj46N-OugEsATSTU43X9pAgEE1N86qcYsfLP8wUpDA,Xerath,1,4,3,3862,8234,0,0
tr1,europe,TR1_1725145853,3_mDfEbAmRlDt6GqqL0KiWZ60ELPkNd04QnO5hQ0rWuqwsbv6rplwTmI2sG447xkqEui_chUAmDtUw,Milio,0,4,4,3768,5446,0,0
tr1,europe,TR1_1725145853,eyrDJklKAHkRJs3N3CirG8_auygh2T2qsoJDGaIbrYgUNVovcPY6wALAXAPDMlYgqzCGz2832rxGpQ,Quinn,8,9,6,14112,49028,0,1
tr1,europe,TR1_1725145853,LW4MiD5YNaPhQeK2JejBGxJbzaUcfxZys-pUJHrvyZFm3hE8-kr2pIlhlvAwzf0KyAxJkkaaOkPBOQ,Pantheon,13,2,18,17779,63431,0,1
tr1,europe,TR1_1725145853,olv4-PV4qpqGvf9Uo8AEAfIdZBClO7vLMJkIQMOmfB8os_lGpym0fp2hAHWuc1j0tJCZVyGHapnBDQ,Zyra,8,6,10,15189,38022,0,1
tr1,europe,TR1_1725145853,N4TSUeyr9axwZzA4MvPW0o3lWqGEAb_m3VEdv12Ij-gMp57CBczMMEHw9sRDKThCZ7n3G2BCfSaQAA,Kassadin,22,8,2,16510,72071,0,1
tr1,europe,TR1_1725145853,5FmTNsFl5xOWl3W0sy8yH7KQFVKLFtOtRXM--sufA0edTh-ClkiWkjN0lXhABU-5jpoRDc7Ffagfkg,Zyra,1,9,14,10280,20003,0,0
tr1,europe,TR1_1725145853,dW5MqiGBwai50elZws7DKVEqX4U-1o-DRNRoVNtiWpj3Um78gbzXO32Q2zcACypcSJRPV2pNKcZYow,Shen,4,7,19,16549,38829,0,1
tr1,europe,TR1_1725145853,KUouGjyU2_RjaOM9PtRgh22IG79VfUFwqMdNGcwYLl2mm9YHg03_3MbBDhFWrqsGl8c4kQdcPR8OLA,Brand,1,6,24,16765,45657,0,1
tr1,europe,TR1_1724988101,Fbqjb2uo2ctgzedKqby4fCGaU7ZkEeR2cZYNSntBh2AWzRolYacWcAhXOLZ1YcPy0HtuKfxD_RQE6Q,Kaisa,14,6,8,16515,47483,0,1
tr1,europe,TR1_1724988101,cwSEajtDiSaGWV7hMgC4Kbfc6G2_7U-WYWDJipMt6YGfqhugNhFpszEGJihb_xkf823-qx26_hih0Q,Janna,7,8,14,12586,24631,0,0
tr1,europe,TR1_1724988101,DNBgYt0YNPeeGQOufz51OpzdpQn4C1ibLQFq3cmOcW-CmVD6C57iU02AoDcQy76t6fFWIHf_Bxu3Ig,Seraphine,6,8,17,10785,43463,0,0
tr1,europe,TR1_1724988101,wN4MWz_VxUWtL10dGskswsBcgcvAnRPoaEvlYNcqe-krVs99wUiLDP-yZn3-WPIc8mqg1SLTrdk-lg,MissFortune,14,8,14,16534,75419,0,1
