region,routing_region,puuid
tr1,europe,5Yx1oFOn-3Q5wP02sA6hV8dOUsSBEqK-pP8FsDaGPI8h73izb4i3geFPGIARKZDyiX_fPcWkWUQoOQ
tr1,europe,UaF_qrOYEhDGda7gkvwKFHG1Ayv_EeKm5MJuDpR4NSXLMDMZTS3BdlGzqXhgWNXg6i0T50jprKGhLg
tr1,europe,DR9sKwGUUIrTvraOdlJ16ppTS_hmhtWxkRoljsSzvXTFdLzagGvCE5VIASDTNxIzSz3unS3t1wHEHw
tr1,europe,I7933XnpqpgdJdkmHL8Nt6xe1O8Z6zJn5g-jg2vsUK588sVJXWt_W93JgkV-tMc1LY2OXwnp-taZlQ
tr1,europe,dkMQVFGeZJDvyEhGhRTqCO0NRup-rn61bHMeGvry-MKShW9Q-ATd4fTDaOsEaRcrGXXOeLHQGR2M-Q
tr1,europe,Vw0BpLYZNJpj8_2udxmsK23ghaI0HOEjm8MNI9-7S2EzIjNUZesbboT9luEMdA5TtVbLqLOVdpM_Zw
tr1,europe,Srm0nguqC5Dca6nNmhpacYg2MEKged2s5FewqRCFHN8_pdD-LDoICQD7brPH62WcF5j3HAj4l4cNWg
tr1,europe,boPEcogyUhkYX19iHxc885ZYmLih1EJa6OHoZvHi0iSdpV_oDouCTTuL1LZTooBZxPECE-4rgp143A
tr1,europe,Ze0FUX1JP-8oTSm7-LCLR9y_agmBGYti7fm1hhmmjnHeymKnQXa0eGWYTiVLgr55-8UbDrYWgtz_-Q
tr1,europe,YwCQSnI4sCsMJmlv-sPM0LJKaPrLrIp76g9Egj46N-OugEsATSTU43X9pAgEE1N86qcYsfLP8wUpDA
tr1,europe,3_mDfEbAmRlDt6GqqL0KiWZ60ELPkNd04QnO5hQ0rWuqwsbv6rplwTmI2sG447xkqEui_chUAmDtUw
tr1,europe,eyrDJklKAHkRJs3N3CirG8_auygh2T2qsoJDGaIbrYgUNVovcPY6wALAXAPDMlYgqzCGz2832rxGpQ
tr1,europe,LW4MiD5YNaPhQeK2JejBGxJbzaUcfxZys-pUJHrvyZFm3hE8-kr2pIlhlvAwzf0KyAxJkkaaOkPBOQ
