region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
oc1,sea,OC1_704951673,NZ1Ru53nUJpvFfwJA6GMAZUsoKopAqf5pc4wpkroOA_1KjBGV7OIlTaQJ8U90_8y2pk5NGSlfNhldA,Graves,13,10,7,14628,56777,0,0
oc1,sea,OC1_704951673,CM8MU9UHkO9MxdQ6stOCF4nc1dnYown4UrNjqvQ2PDgl-lfliM9Dt19Sz5CoBI3zV8XQgp9xE27jUA,Locke,8,8,12,13500,24543,0,0
oc1,sea,OC1_704951673,ZQ7v2sxvwbXsc1op9Lmtjtuy4mPpi18ESKVO5a3m7QFDzRxfQAPopfibkzqI-OhF3UZ_ig-1D2BUYA,Aatrox,17,7,13,17760,70281,0,1
oc1,sea,OC1_704951673,CBNudvYAm4fUcKXQfjcQdd-3AUR8OycNuxBmoKmC9gjFE6rwsE2k5dGoaWKKqF9LWTqQmv0XhW8PJg,Quinn,13,6,19,16250,115790,0,1
oc1,sea,OC1_704951673,7uf4xNEpLL_anZr9mPMyRSy1KGfoBaaEJm5ADdqxzlql89EEqAH1sZTGOOxtr2KqD9y7vEwXEAbb7w,Sivir,11,14,6,16539,112986,0,1
oc1,sea,OC1_704951673,3zpw3hoo4jhywxFN2PZDuxsRwh3VJNHmDUKmGgmEYm_68B-JeqtTsPKcmewFyoY52txH4Di0gtbcNw,TahmKench,5,9,11,17743,38593,0,1
oc1,sea,OC1_704951673,BhgLx9GPquC0o1KyNTsGR-l8qu7u5XUkLLfPOymBsW8i8zL-NNxlvAgOdh9T6T2bLmEfG_pn2Sk_DA,Yuumi,1,9,16,18505,19763,0,1
oc1,sea,OC1_704951673,gk6qIb4G3nWuV4rWr7p23yEytXL6YIWLp8N14SdDbH9FuvNT3cTEo3XkFMdb45p1BlyQNgHOxxnjPg,Sylas,12,2,28,22468,47904,0,1
oc1,sea,OC1_704951673,3OcNg6FjRG-aoc8x1KRqZOndEjFlWOOBoQEe58mt8XtpoQ-ykB122kpXC5c1Dw1CZlPv8MfF9U9yMw,XinZhao,22,5,17,29997,131298,0,1
oc1,sea,OC1_704951673,O6K37Icml5Goyyc2AcGKK0hb1rbYVgay8aMP_L-q1V6FLnVR_iLbvNb-9XYRVgkja6lPLZn4vyTrzA,Singed,10,7,31,20765,74485,0,1
