region,routing_region,puuid
oc1,sea,NZ1Ru53nUJpvFfwJA6GMAZUsoKopAqf5pc4wpkroOA_1KjBGV7OIlTaQJ8U90_8y2pk5NGSlfNhldA
oc1,sea,CM8MU9UHkO9MxdQ6stOCF4nc1dnYown4UrNjqvQ2PDgl-lfliM9Dt19Sz5CoBI3zV8XQgp9xE27jUA
oc1,sea,ZQ7v2sxvwbXsc1op9Lmtjtuy4mPpi18ESKVO5a3m7QFDzRxfQAPopfibkzqI-OhF3UZ_ig-1D2BUYA
oc1,sea,CBNudvYAm4fUcKXQfjcQdd-3AUR8OycNuxBmoKmC9gjFE6rwsE2k5dGoaWKKqF9LWTqQmv0XhW8PJg
oc1,sea,7uf4xNEpLL_anZr9mPMyRSy1KGfoBaaEJm5ADdqxzlql89EEqAH1sZTGOOxtr2KqD9y7vEwXEAbb7w
oc1,sea,3zpw3hoo4jhywxFN2PZDuxsRwh3VJNHmDUKmGgmEYm_68B-JeqtTsPKcmewFyoY52txH4Di0gtbcNw
oc1,sea,BhgLx9GPquC0o1KyNTsGR-l8qu7u5XUkLLfPOymBsW8i8zL-NNxlvAgOdh9T6T2bLmEfG_pn2Sk_DA
oc1,sea,gk6qIb4G3nWuV4rWr7p23yEytXL6YIWLp8N14SdDbH9FuvNT3cTEo3XkFMdb45p1BlyQNgHOxxnjPg
oc1,sea,3OcNg6FjRG-aoc8x1KRqZOndEjFlWOOBoQEe58mt8XtpoQ-ykB122kpXC5c1Dw1CZlPv8MfF9U9yMw
oc1,sea,O6K37Icml5Goyyc2AcGKK0hb1rbYVgay8aMP_L-q1V6FLnVR_iLbvNb-9XYRVgkja6lPLZn4vyTrzA
oc1,sea,v8nLMXQTg3bIduZ8r_nszVeUDF5XrvtUNf64aA0pDSL_N-g_euvodiz-GMX4LAU4LKdEG3DrJJ7nbw
oc1,sea,2QHdgC2lQrU56y1FNhCTEhldr529y8rG9t6mi9OPk8izWxT8C034X9nC1z4sr92PIv8FLy3plrw96w
oc1,sea,bIQCbsXZ6PlsLhSqOMdl-BZF6avBlEZdfq3q50EsnOrmBs6U_ShEbNSlW7dRe-cG6HWBULxBL2f1iA
oc1,sea,u1V8qqZEykiTr8CuaYJBX7_unLTMCUAVplPMZ4t4LIE1N72sstmMtmNsPlKewzc4SQslKmFh2pVURw
oc1,sea,YPLOD1rYVJEp1qq8wzh2PcYfhA9CAF5ZybT16g2vbvNTUUfyQsJgv3IKduuRa_YXBz5psS94LdGVFQ
oc1,sea,RhMLG6GXPND93wFGYPu51n2rXI0WqHqrub-PqwIV2XPS1ktKipWheBf8OgNLdOwUd4eELvYD7vvBnw
oc1,sea,PQfKmuvjGQU6oDsg8v4rLqzb4PzZVr_-plMLlIAat26axDcKjlxlUOB_E8uRSN2N5pVGKRcxs9bOAA
oc1,sea,ItDDvQcbxn-O4vPZMKotxWqG5OwNkcSpMBEwqEswhAb9BPKe42Ry3crFNCmvQIvHSv4k6yVyO42MbQ
oc1,sea,B_UGvZnmgmCA69nWAnvG0SsftZuVdC9SUVJ7WhdHnz5jxoA7SW_KpNPLFbXyXZbAsMTivR_Eqfw5Kw
oc1,sea,uCJeAgYdidDaeT9OezmG75T2hG7vUZ-XlGYyFMZjbDlROJfijHjxDc2-f6FngL79GIWN3s2ybB225A
