region,routing_region,match_id,puuid,champion,kills,deaths,assists,gold_earned,total_damage_to_champions,vision_score,win
sg2,sea,SG2_162548152,H6YinlycoxdVHeVpHPYeDH4eRo65b48o5Je0HQYrZbQBpQiBb1Vgq2lsmP2sxeyAq_ed0FtHbvYIBg,Vladimir,4,4,4,9592,23983,19,1
sg2,sea,SG2_162548152,qNEDuBzr6cyKp57rIBRa0f2jrZ_dQgMhDZLc6ZYgg-K_pt9fkIE_1tE1_aIml2UpRYiRVNs2PH-BEw,Khazix,6,0,10,12041,15340,27,1
sg2,sea,SG2_162548152,94AZzQ5lE7FYm0hlF6ZQSAJ4BF6XRdv_2lqorZSuxC99nc9thtRR7ICwtqRhz-pnbTwLlyZO0FvVwg,Anivia,9,0,12,13042,23627,10,1
sg2,sea,SG2_162548152,P7cioAQPKfMPWhSjWzU-A68QNKS7Q3ikm4X2_V5pQdFvoTfj80ijB9eQ_TDGXTkQFEk-z-nhK-6n3w,Ziggs,13,3,4,14441,35639,21,1
sg2,sea,SG2_162548152,bq6QWr42gcny03EFcZ-cHqx2pk8b-t_uGA_hhqQkstgIvebJjSvRUPeW9LQOt4vZ7J957mcDgWpThg,Camille,5,10,9,8105,12686,56,1
sg2,sea,SG2_162548152,ZMSJJp2TSi5lB-duC7SBCEi7T6SmMYGiRVjD9wHF8_MYvNVUZxSe8qQQmwF0BBV7DO575oeX2SKUTw,Fiora,1,8,2,7219,17050,20,0
sg2,sea,SG2_162548152,SwJy6mMMSXtUBtKfi_ZIFW5GDCaPa9lA9CbZKjmduRQoDcvTujKWGOu42km4EzY6bPKUmnBN4v7UBw,Graves,4,9,5,8883,15974,12,0
sg2,sea,SG2_162548152,7dWXnVQZGat6nzPx64h5kgcPIHXT_xEc4nW4eN6cRpqktOL0872WEnKjUnQgLSJQG5iayAgWCFp1BA,Singed,6,7,2,9267,18845,13,0
sg2,sea,SG2_162548152,3rtMa1ImSUldTS4Zze9t71KuAW2x4hw7bTM3vd1yc-k7CnqRR76JMJHPOPbopxa-cSUgksuTeTEAyg,Senna,6,7,8,9548,21848,12,0
sg2,sea,SG2_162548152,BOgeSPKtT3Lh7EBEllnD1oo7IWZNv4BqLMIcZrW-z2FsA_NnLA1vyuyKQpjAOHaY4HSlkPxr0JJ9uQ,Milio,0,6,15,6335,5754,80,0
sg2,sea,SG2_162543062,XdfShPV8hOD4vJ9C42j1UImNv-y-I2PM66BcUdXMCPN_Clm5pajLj_-SSSwIlWhPuks00GzeMmBWLg,Pantheon,5,5,8,10396,22081,20,1
sg2,sea,SG2_162543062,fC9SpOBlqblXc5osrYW6i1-L6qzylCFlwQc1vy3nfYzb20myUg4Mio7JHMc9Ny7l2iszWfw-GrWmaQ,Viego,12,2,12,15667,23278,20,1
sg2,sea,SG2_162543062,haTUMhWhoeTMP4TOwS0FZngq-2-iekoWwTRgyMIVg-ybtnRwA3hmB1ebuu0FscUpq7JLZoanl1gdiQ,Qiyana,10,7,9,12920,30657,20,1
sg2,sea,SG2_162543062,mueVuo03TJEspvWJk7BzushMx7-16hFuRSElF_5RGfaF4oW1HuqpjIc-irFCcWv9RCXljEn6IbzFIA,Lux,6,4,12,11666,13325,10,1
sg2,sea,SG2_162543062,bq6QWr42gcny03EFcZ-cHqx2pk8b-t_uGA_hhqQkstgIvebJjSvRUPeW9LQOt4vZ7J957mcDgWpThg,Pyke,5,6,13,9538,9796,84,1
sg2,sea,SG2_162543062,tk4-By4zQAt6xZYyvNTtfsFs038qfjAQFLMfk2trKtqtahY02aplvFylhlBcf1FPT9mAu8xlVmN23Q,Renekton,3,6,1,8589,13261,21,0
sg2,sea,SG2_162543062,ANcQwxOeBoMPQicvo0k3dimhT1Z3DJ2WipJfjFIbzRLgbSHGIX_KfRmGaCtymkCqZhZkF3fI7Azr9A,Jayce,5,8,5,10773,11139,32,0
sg2,sea,SG2_162543062,k1esLmdzhaKsE6Y3mpd977-d7NRRXu4ntiDe4OhaPM6qfCbUUg0Mi9mBG5D2QCQruIc--5tmhZAf8g,Katarina,6,9,7,9357,18755,13,0
sg2,sea,SG2_162543062,P7cioAQPKfMPWhSjWzU-A68QNKS7Q3ikm4X2_V5pQdFvoTfj80ijB9eQ_TDGXTkQFEk-z-nhK-6n3w,Ezreal,8,8,5,13581,25475,15,0
sg2,sea,SG2_162543062,j8SU5gf_HHb7VZp3hix8oywlBqQEuO-wz1wvGQAWKeWv8JLGkM9z3Jj__QCg0DqW-gIT55qv_c8QpQ,Lulu,2,7,12,7374,3721,67,0
sg2,sea,SG2_162296709,grMKYqKQaLRW8srlAhr8eKB8hphmNkg5fvjQLaHJ90f4PuvmHU2vDC_w-sh_Sq3VkL3ie_CIoNw4lg,Jax,6,3,5,14705,27077,21,1
sg2,sea,SG2_162296709,D1fYI3xmyQFfY8jW4Tt7C2DUncd-BWiLpaBaGeNoyJzRzkbApga1BwxV9RaPfOfWwTGfqbXcTDhnKg,MasterYi,10,5,12,16482,27195,23,1
sg2,sea,SG2_162296709,_x3ER7QzQRKwPBYnobNR4kIlg-8Nj30BD-iKyZ98Au6UE8hJerBOadqjvj_jP5buIAH4teh3HF-p2A,Lissandra,4,10,15,11031,18153,25,1
sg2,sea,SG2_162296709,XGFLqnPI_ZCwq2vx8bsktvm4w5rlVMH9jdQsAPDTPKO1_QbhEpdcWuRrNFHX-CWe-t2WZ46OG9JEow,Aphelios,11,9,8,17488,26792,25,1
sg2,sea,SG2_162296709,bCgUdwxkugj-97mBmozRu0ME6H9avFLaUYkeQOiRL-RKfIU2bCmSY--QuDymDJOOnhxgHFpRBs8yVg,Lulu,3,7,20,9519,7707,110,1
