region,routing_region,puuid
sg2,sea,H6YinlycoxdVHeVpHPYeDH4eRo65b48o5Je0HQYrZbQBpQiBb1Vgq2lsmP2sxeyAq_ed0FtHbvYIBg
sg2,sea,qNEDuBzr6cyKp57rIBRa0f2jrZ_dQgMhDZLc6ZYgg-K_pt9fkIE_1tE1_aIml2UpRYiRVNs2PH-BEw
sg2,sea,94AZzQ5lE7FYm0hlF6ZQSAJ4BF6XRdv_2lqorZSuxC99nc9thtRR7ICwtqRhz-pnbTwLlyZO0FvVwg
sg2,sea,P7cioAQPKfMPWhSjWzU-A68QNKS7Q3ikm4X2_V5pQdFvoTfj80ijB9eQ_TDGXTkQFEk-z-nhK-6n3w
sg2,sea,bq6QWr42gcny03EFcZ-cHqx2pk8b-t_uGA_hhqQkstgIvebJjSvRUPeW9LQOt4vZ7J957mcDgWpThg
sg2,sea,ZMSJJp2TSi5lB-duC7SBCEi7T6SmMYGiRVjD9wHF8_MYvNVUZxSe8qQQmwF0BBV7DO575oeX2SKUTw
sg2,sea,SwJy6mMMSXtUBtKfi_ZIFW5GDCaPa9lA9CbZKjmduRQoDcvTujKWGOu42km4EzY6bPKUmnBN4v7UBw
sg2,sea,7dWXnVQZGat6nzPx64h5kgcPIHXT_xEc4nW4eN6cRpqktOL0872WEnKjUnQgLSJQG5iayAgWCFp1BA
sg2,sea,3rtMa1ImSUldTS4Zze9t71KuAW2x4hw7bTM3vd1yc-k7CnqRR76JMJHPOPbopxa-cSUgksuTeTEAyg
sg2,sea,BOgeSPKtT3Lh7EBEllnD1oo7IWZNv4BqLMIcZrW-z2FsA_NnLA1vyuyKQpjAOHaY4HSlkPxr0JJ9uQ
sg2,sea,XdfShPV8hOD4vJ9C42j1UImNv-y-I2PM66BcUdXMCPN_Clm5pajLj_-SSSwIlWhPuks00GzeMmBWLg
sg2,sea,fC9SpOBlqblXc5osrYW6i1-L6qzylCFlwQc1vy3nfYzb20myUg4Mio7JHMc9Ny7l2iszWfw-GrWmaQ
sg2,sea,haTUMhWhoeTMP4TOwS0FZngq-2-iekoWwTRgyMIVg-ybtnRwA3hmB1ebuu0FscUpq7JLZoanl1gdiQ
sg2,sea,mueVuo03TJEspvWJk7BzushMx7-16hFuRSElF_5RGfaF4oW1HuqpjIc-irFCcWv9RCXljEn6IbzFIA
sg2,sea,tk4-By4zQAt6xZYyvNTtfsFs038qfjAQFLMfk2trKtqtahY02aplvFylhlBcf1FPT9mAu8xlVmN23Q
sg2,sea,ANcQwxOeBoMPQicvo0k3dimhT1Z3DJ2WipJfjFIbzRLgbSHGIX_KfRmGaCtymkCqZhZkF3fI7Azr9A
sg2,sea,k1esLmdzhaKsE6Y3mpd977-d7NRRXu4ntiDe4OhaPM6qfCbUUg0Mi9mBG5D2QCQruIc--5tmhZAf8g
sg2,sea,j8SU5gf_HHb7VZp3hix8oywlBqQEuO-wz1wvGQAWKeWv8JLGkM9z3Jj__QCg0DqW-gIT55qv_c8QpQ
sg2,sea,grMKYqKQaLRW8srlAhr8eKB8hphmNkg5fvjQLaHJ90f4PuvmHU2vDC_w-sh_Sq3VkL3ie_CIoNw4lg
sg2,sea,D1fYI3xmyQFfY8jW4Tt7C2DUncd-BWiLpaBaGeNoyJzRzkbApga1BwxV9RaPfOfWwTGfqbXcTDhnKg
sg2,sea,_x3ER7QzQRKwPBYnobNR4kIlg-8Nj30BD-iKyZ98Au6UE8hJerBOadqjvj_jP5buIAH4teh3HF-p2A
sg2,sea,XGFLqnPI_ZCwq2vx8bsktvm4w5rlVMH9jdQsAPDTPKO1_QbhEpdcWuRrNFHX-CWe-t2WZ46OG9JEow
sg2,sea,bCgUdwxkugj-97mBmozRu0ME6H9avFLaUYkeQOiRL-RKfIU2bCmSY--QuDymDJOOnhxgHFpRBs8yVg
sg2,sea,k6yYIJWpl9daBXwX9dS3YuXfYSoHNtd8fcl8VqR6d1K_0CsAcE-UsA6W3x_wksgwRW_fQtcCcMM8QQ
sg2,sea,WNFAZs6HmZZo3PuLaftK6lTEYDYx1GCMb-vMufL9su44_kFY6F_JUtuFbtwipzQnUNHB5RRyMAGVsA
sg2,sea,yMinSvShgZdc5FC9xw-gGJibGCAOkJwsxcyV61Y2Y8-BfWIE7xindnpvey5B_dPeXWSPamr0Ps_4Og
sg2,sea,NPAPTpKs-5ejueiS3F23PNqwWW0rnU8DyWGBx4qTm64sSfDf9OUmcRaMi6Gh4n09JVu24g3UxqgJFA
sg2,sea,vzmmNnoa29b-v_aoFIAYJotXSQwBvDdvaHo58xsj5NFuIxo8CO7xphsGmvlJICrReePDO71J9kccfA
sg2,sea,YGJkpAkLhnigj8HDGKHI2pNYfaAzq_IWwLcnwVccq9ZiiLs-W-mo-JLBmhzW_z1S4Y7jZ3JZnO2FdA
sg2,sea,a4VI8VSXjDgK7PTGINquJWT6lYcSEsLb_UD8NYCx0nKmeWW8skfxR9NIJgyVBjOPZr0LAdvSZGF8fg
sg2,sea,W7CKUcOUMY8rmCLqdDHq474BCAfz5DHxiTkT6k1e5e89VlcMNzs_2IN2gm14HCzxVVTea50q6lKqDg
sg2,sea,fEMWUhc1kwHkDsT0AXL6FM2ojv8pVS591LxsU037JpJ90HaIXzEOYC9aszmCBiyEzO6SSEdRxQ27mQ
sg2,sea,AXInHIcPYflYw_TG9XGl0PTckbr5h2Q4d0lSeS_pRHd9GoREJwQFmffmygjiGeaocpnvBpr-mATLuQ
sg2,sea,wK6mT5VD3I7Qb_wYlbpfoLlfhNh7YshkccARbRpwqh0e_B_yRBMaT8TefLQgFXcJhF4M6Fgw_AvFLA
sg2,sea,pEphXhecK0FLS0K61wO6FrlTbMUwfeKhegaZvLOX1z304GiYHWdc4PwBd7hXe8mZuEw96g1MglgD0A
sg2,sea,S_HNyatSzCnjHE_Txu1gi3K_5DZhqKSgVNJVjLIc01IByabiTs6Pp9Ts22v6gGoy3qM19pi0TKSYAw
sg2,sea,LAbT7EPKMi_HgNQx-HaqV1l8nk1BVP3qD1ILnTw931mfm8RUqLcHlYFWab6S-OOcjCnCj06X0IZMpg
sg2,sea,_FAFmZF8STaq8oXFyHd5Qu-INd-Ly1RUIxPQjLFM48BBK10jvAB_q-hsDhf5sQIeYIWJyWhsP50VUg
sg2,sea,PHWP7YwoXwON-2WHVVR0hQAJ17rowo5C3CrHmJ_J7ZaWh3gd2ulUo-hxMyxCK8IffWmVIUO6gbvDuA
sg2,sea,jWUnWFfb3P2igehPhSCgnKGwlWk0u8Q1H4GWUZ-D-PMYHTeuQUajTkXpr7n-TD5Zp7tRkK6TzCn4pw
sg2,sea,OfK6iwr0Ta8n0-Mwk8aoVW6dxoTomku2qtAG2wZUttirRkqhGq1QEBuOozjsu4EaLdChEEV5c_C0Pw
sg2,sea,9Q-Du3kCnBGRnGaMjfiQ40p1k1aUnvnKUQsIZfsUGQtVZbVAKv03eGy2HZIH6GoM7Uwwgqu8vLjxpQ
sg2,sea,mvisXF0e1YVHA16Qr46fijEtBnBhkkCcH5w01wD2YOwNxu7tZ4PBkG3zWpPB8wnkjCXgeG99dAGsQA
sg2,sea,ot5UdQyRmD69tLNcTpsUIeK58UHyPQcIxLRm4QQukWJ7HHcxJAsnX8H4knCL4BDMXi-lEJ9pkskydg
